w1_PCIe read bandwidth,w1_PCIe write bandwidth,w1_Long_Kernel,w1_ave_Kernel_Length,w1_long/short_Ratio,w1_avg_Thread,w2_PCIe read bandwidth,w2_PCIe write bandwidth,w2_Long_Kernel,w2_ave_Kernel_Length,w2_long/short_Ratio,w2_avg_Thread,workload1,workload2,idx1,idx2,w1throughput,w2throughput,w1sm%,w2sm%,w1mem%,w2mem%,w1CPU%,w2CPU%,w1MainMem%,w2MainMem%
16.633334067861327,94.01533167994236,221.6318055555556,68.02083885209711,0.1889763779527559,61662.94039735099,8.671013040204995,41.012348663774645,264.2816465863454,128.23335135135142,0.5071283095723014,1702780.0648648648,vit-base-patch16-224_batch2-inf,vit_h_14_batch16-train,14,20,42.60596775370249,10.626992561105208,29.454545454545453,96.87847222222224,4.181818181818182,30.67013888888889,724.74375,128.72500000000005,1.19375,1.5050342465753368
10.825834718820031,44.14279463844081,496.6181692094317,108.75369138066591,0.2328811369509044,3113255.480220068,11.747958573804285,54.63636430911887,386.6198204667865,90.94675150128678,0.1894557823129251,1702684.6199599656,whisper-large-v2_batch16-inf,whisper-large-v2_batch8-inf,12,23,3.524229074889868,0.9448105950010336,50.03021148036254,45.11811023622048,22.38368580060423,19.79265091863517,115.65532695374812,125.26545454545456,5.37405103668258,5.3417878787879065
13.858839457826116,81.54363580691262,442.43680000000006,81.08501432664748,0.0771604938271604,540528.3209169054,3.6494946761174094,16.83328335893147,735.2546666666666,303.11814814814807,0.5882352941176471,1092430.4197530863,albert-base-v2_batch2-train,bert-base-cased_batch16-inf,5,9,6.350704020902889,93.996459037502,97.0,97.0,43.0,38.0,126.564375,113.78777777777778,0.9618749999999996,1.162962962962963
13.858839457826116,81.54363580691262,442.43680000000006,81.08501432664748,0.0771604938271604,540528.3209169054,16.633334067861327,94.01533167994236,221.6318055555556,68.02083885209711,0.1889763779527559,61662.94039735099,albert-base-v2_batch2-train,vit-base-patch16-224_batch2-inf,5,14,23.80952380952381,47.0360824742268,97.0,29.454545454545453,43.0,4.181818181818182,126.564375,724.74375,0.9618749999999996,1.19375
11.747958573804285,54.63636430911887,386.6198204667865,90.94675150128678,0.1894557823129251,1702684.6199599656,5.262102626088674,28.706094690685045,442.0544943820222,203.8333620689655,0.6223776223776224,429556.5517241379,whisper-large-v2_batch8-inf,bert-base-cased_batch8-train,23,26,2.934469810129216,10.54139215124606,45.11811023622048,96.7,19.79265091863517,45.2,125.26545454545456,110.38627450980394,5.3417878787879065,1.20764705882353
3.563917391615611,19.44470847529515,493.8180975609756,317.28014285714295,1.4137931034482758,3943048.137142857,6.105285906720775,36.68375615566179,377.158566878981,182.8024864864865,0.7370892018779343,282891.7351351351,albert-base-v2_batch16-train,vit_h_14_batch2-train,8,19,26.24167067390259,1.9816984321268287,97.3793103448276,97.51923076923076,45.672413793103445,47.9423,104.47540816326531,215.61129032258071,1.0005102040816338,1.463225806451613
4.970990415291147,24.972133812000106,531.3158333333334,223.9138509316772,0.594059405940594,561325.5155279504,9.910998486903791,57.24124716144934,521.1402941176472,108.69638297872348,0.1915492957746478,677125.4468085107,bert-base-cased_batch8-inf,wav2vec2-base-960h_batch8-inf,1,16,53.84845900278924,41.41184693342653,96.0,18.24,38.0,6.6,95.984,387.6431818181818,1.1133333333333333,1.492272727272728
8.184533875923885,49.532910362287154,387.3094444444444,134.05515527950303,0.288,235870.8074534161,6.105285906720775,36.68375615566179,377.158566878981,182.8024864864865,0.7370892018779343,282891.7351351351,bert-base-cased_batch2-inf,vit_h_14_batch2-train,15,19,85.76883536495814,7.033997655334115,92.5,97.51923076923076,40.0,47.9423,172.04833333333332,215.61129032258071,0.9183333333333332,1.463225806451613
3.6494946761174094,16.83328335893147,735.2546666666666,303.11814814814807,0.5882352941176471,1092430.4197530863,7.601395971866045,45.94715083457058,329.7787323943663,143.709051724138,0.4409937888198758,210461.93103448275,bert-base-cased_batch16-inf,bert-base-cased_batch2-train,9,18,94.45635032954593,5.135074793480688,97.0,97.27272727272728,38.0,47.76623376623377,113.78777777777778,144.3622222222222,1.162962962962963,1.152222222222222
5.984033920877607,35.283317048542585,507.5590654205606,190.0227814569538,0.3092485549132948,229053.0331125828,7.810020991419311,42.83362266593558,713.7641538461538,139.9536170212766,0.1815642458100558,1342018.5721040189,vit-base-patch16-224_batch8-inf,wav2vec2-base-960h_batch16-inf,3,21,41.65255068380793,62.87844288147885,27.05555555555556,21.0,6.055555555555555,7.98,392.2815789473684,276.49724999999995,1.428421052631579,1.5592499999999991
8.61241068595606,50.26963320036693,386.4577966101695,128.5680952380952,0.3056994818652849,355292.44444444444,13.858839457826116,81.54363580691262,442.43680000000006,81.08501432664748,0.0771604938271604,540528.3209169054,wav2vec2-base-960h_batch2-inf,albert-base-v2_batch2-train,2,5,34.25342828556295,16.222702183825294,17.464285714285715,97.0,5.428571428571429,43.0,686.1577777777779,126.564375,1.3266666666666669,0.9618749999999996
6.340558864222144,33.56571535204275,365.4948087431694,168.6319867549669,0.6777777777777778,444314.27814569534,3.6494946761174094,16.83328335893147,735.2546666666666,303.11814814814807,0.5882352941176471,1092430.4197530863,vit-base-patch16-224_batch16-inf,bert-base-cased_batch16-inf,4,9,52.61810519682559,92.6984126984127,29.0,97.0,6.026315789473684,38.0,272.6894117647059,113.78777777777778,1.512941176470588,1.162962962962963
