HPworkload,ground truth,random,prediction,_PCIe read bandwidth,_PCIe write bandwidth,_Long_Kernel,_ave_Kernel_Length,_long/short_Ratio,_avg_Thread,exclusive_throughput,sm%,mem%,CPU%,MainMem%,ground truth value
whisper-large-v2_batch8-inf,1.0,0.3313209756369053,0.7455173329625875,1.0,1.0,0.13002544337590874,0.1413769319697015,0.1413769319697015,0.13002544337590874,1.0,0.2148747107825875,0.2502391981949239,0.2148747107825875,0.1413769319697015,60.85290992603713
vit-base-patch16-224_batch8-inf,1.0,0.7054989969500454,0.9821456060138438,0.4628843196202806,0.4628843196202806,0.5500134727362698,0.555587620992776,0.555587620992776,0.5500134727362698,0.6347283312557248,0.43300427075440856,0.6773417426910135,0.8674499218624596,0.8719359223002174,164.68619473544885
albert-base-v2_batch2-train,1.0,0.5364282462124719,0.9118106417235419,0.33864794656144115,1.0,0.7060050740300098,0.7060050740300098,0.3089331943954119,0.7060050740300098,0.6886976108755235,0.33183124328298846,0.7060050740300098,0.9327473081304968,0.3089331943954119,100.3471630584049
bert-base-cased_batch8-inf,1.0,0.7005126620556489,1.0,0.44981873647206144,0.7891612556164587,0.6486567852033578,0.6551903560314276,0.6551903560314276,0.6486567852033578,0.7891612556164587,0.44981873647206144,1.0,0.7924175458156102,0.7606649149829509,142.8570267550909
wav2vec2-base-960h_batch8-inf,1.0,0.6305524519851343,1.0,0.43748402354698124,0.8250382036123179,0.7736294696171478,0.7736294696171478,0.5461847352390885,0.7736294696171478,0.8250382036123179,0.43748402354698124,0.7736294696171478,0.7974042904488703,0.7137743979302026,119.46299647145413
bert-base-cased_batch8-train,1.0,0.45676527082437784,0.6367572013849245,0.3698120964530976,0.3698120964530976,0.6367572013849245,0.6367572013849245,0.20838743345208954,0.6367572013849245,0.8186076151158612,0.36760076136275066,0.6367572013849245,0.8186076151158612,0.6032184485446053,94.56497148992443
bert-base-cased_batch16-inf,1.0,0.6857286372848526,0.8420659676983189,0.5248421970324572,0.5248421970324572,0.8420659676983189,0.8420659676983189,0.6905420286133422,0.8420659676983189,0.6592250729665194,0.5887365551843904,0.8420659676983189,0.775804652083366,0.7517407404743053,145.3165178952383
vit_h_14_batch8-train,1.0,0.449736431436668,0.7829341463800602,0.35316340333778196,0.35316340333778196,0.7829341463800602,0.7829341463800602,0.11161524205369235,0.7829341463800602,1.0,0.3059275556957955,0.7829341463800602,0.35316340333778196,0.3059275556957955,70.24698151314354
vit-base-patch16-224_batch16-inf,1.0,0.6427340865349609,0.8518809782245322,0.8823843317812649,0.8823843317812649,0.8518809782245322,0.8518809782245322,0.6044940372869132,0.8518809782245322,0.8823843317812649,0.48945445739378673,0.8518809782245322,0.5616891119626276,0.8997625838421885,164.68619473544885
whisper-large-v2_batch16-inf,1.0,0.5110577375079165,0.7446484508152941,0.7032349635387504,0.7032349635387504,0.7446484508152941,0.7446484508152941,0.36516795518900447,0.7446484508152941,1.0,0.5191836220132353,0.7446484508152941,0.7032349635387504,0.36516795518900447,20.749064064656633
wav2vec2-base-960h_batch16-inf,1.0,0.82084418323853,1.0,0.9164391234155603,0.9164391234155603,0.7246193406405878,0.6611326373100704,0.6611326373100704,1.0,0.9164391234155603,0.6611326373100704,0.7246193406405878,0.9164391234155603,0.8020298148264314,104.53099356528678
albert-base-v2_batch16-train,1.0,0.5339106274257824,0.6894679254398438,0.45608041232739366,1.0,0.6894679254398438,0.6894679254398438,0.4455637167257315,0.6894679254398438,1.0,0.4524553040185257,0.6894679254398438,0.8425494915750965,0.4455637167257315,76.26824051724324
wav2vec2-base-960h_batch2-inf,1.0,0.557451333280502,1.0,0.35087164938969445,0.8717991927662279,0.4163144099722503,0.12780677623243122,0.6357292442147153,0.4163144099722503,0.6357292442147153,0.43033609982218207,0.5446304762980363,0.36577637644896194,0.35087164938969445,119.14691721842664
albert-base-v2_batch8-train,1.0,0.4151494782365539,0.6251166855463627,0.37304928418607514,0.9248744559537534,0.6251166855463627,0.6251166855463627,0.3599723746445445,0.6251166855463627,0.9248744559537534,0.2778883294133905,0.6251166855463627,0.3838404961737837,0.3599723746445445,92.50244247345861
vit-base-patch16-224_batch2-inf,1.0,0.5611883895108242,0.8575595254353239,0.3748190702405995,0.8722178745812824,0.8575595254353239,0.8575595254353239,0.5049830552155878,0.8575595254353239,0.8722178745812824,0.4121717058518611,0.8575595254353239,0.3748190702405995,0.5049830552155878,140.29303667130998
bert-base-cased_batch16-train,1.0,0.542758550162309,1.0,0.481026864719806,0.481026864719806,0.45646232158069994,0.4646706709616116,0.4646706709616116,0.45646232158069994,0.6579126479085039,0.4657730199372706,0.5717007991984785,0.481026864719806,0.6579126479085039,76.23065720097128
