Train Ratio	MSE	R2
trainratio_0.4	1.4022762900100556e+25	-1.4373331972603068e+25
trainratio_0.8	9.615104161896437e+25	-1.035472755896539e+26
trainratio_0.9	0.0846245182734945	0.9012713953475897
trainratio_0.3	9.555432147481462e+25	-9.758739214449151e+25
trainratio_0.2	0.1867131607760728	0.8097639493979636
trainratio_0.5	4.988579755718636e+24	-5.13974883922526e+24
trainratio_0.7	0.06354680129775807	0.9331086302128863
trainratio_0.6	0.06986116676912633	0.9274518652782149
trainratio_0.1	4.132087335213161e+27	-4.200955457466715e+27
