HPworkload,ground truth,random,prediction,_Threads,_Compute (SM) Throughput,_DRAM Throughput,_Memory Throughput,_Registers,_Static Shared Memory,exclusive_throughput,sm%,mem%,memcap,ground truth value
whisper-large-v2_batch8-inf,1.0,0.31947041279013794,1.0,0.07902106275912374,0.0646038342393538,1.0,0.2400614301260157,0.07902106275912374,0.07902106275912374,1.0,0.07902106275912374,0.2400614301260157,1.0,63.432861246081565
vit-base-patch16-224_batch8-inf,1.0,0.6901946587197766,1.0,0.8629584963519126,1.0,0.8629584963519126,0.8629584963519126,0.8629584963519126,0.8629584963519126,0.8362539172648639,0.44087584173166394,0.8629584963519126,0.8362539172648639,161.7458225305613
albert-base-v2_batch2-train,1.0,0.5173428624127836,1.0,0.7116454961154355,0.9190952875008682,0.7116454961154355,0.7116454961154355,0.7116454961154355,0.07611004086067806,0.6941997600206968,0.2429041168635533,0.7116454961154355,0.6936939157338539,99.55182274105027
bert-base-cased_batch8-inf,1.0,0.6862429305245541,1.0,0.8492484265236528,0.7466199559173542,0.8492484265236528,0.8492484265236528,0.8492484265236528,0.4200940524437016,0.7466199559173542,0.554254842543541,0.8492484265236528,0.7497007093472036,150.99680863628137
wav2vec2-base-960h_batch8-inf,1.0,0.6220141471176723,0.9902907401573539,0.7661181000747064,0.9902907401573539,0.7661181000747064,0.7661181000747064,0.7661181000747064,0.21474764749201114,1.0,0.4556389969952503,0.7661181000747064,0.7661181000747064,120.63426590505317
bert-base-cased_batch8-train,1.0,0.647064089891684,0.9530805068856177,0.9530805068856177,0.9530805068856177,0.9530805068856177,0.9530805068856177,0.9530805068856177,0.24685680705762508,1.0,0.39843953906845997,0.9530805068856177,0.8819766686189561,87.77058230585791
bert-base-cased_batch16-inf,1.0,0.7053475105525502,1.0,1.0,1.0,1.0,0.7679413175938113,1.0,0.34093455249185994,0.8334818062366462,0.6325061419712873,0.7679413175938113,0.8076288644436603,135.26057769240936
vit_h_14_batch8-train,1.0,0.7955932692325557,0.9731461178508968,0.6874354780594161,0.35215603902115766,0.35215603902115766,0.35215603902115766,0.6874354780594161,0.9731461178508968,0.9652287112313078,0.9652287112313078,0.35215603902115766,1.0,22.264658209253938
vit-base-patch16-224_batch16-inf,1.0,0.7316132317509424,1.0,0.8773013744577847,0.9266117822417036,0.8773013744577847,0.8773013744577847,0.8773013744577847,0.8773013744577847,0.9442358002821596,0.5784500916663324,0.8773013744577847,0.9266117822417036,159.91430169366595
whisper-large-v2_batch16-inf,1.0,0.3073983226656264,0.3350483984690859,0.3350483984690859,1.0,0.3350483984690859,0.3350483984690859,0.3350483984690859,0.09824558215721141,1.0,0.3164147431222791,0.3350483984690859,0.3350483984690859,46.115004525352035
wav2vec2-base-960h_batch16-inf,1.0,0.9395519984251233,0.906269863371125,0.906269863371125,0.9123861319042451,1.0,1.0,0.906269863371125,0.906269863371125,0.9123861319042451,0.906269863371125,1.0,0.9123861319042451,75.74517963378362
albert-base-v2_batch16-train,1.0,0.6847912683672908,1.0,1.0,0.45294648014841404,1.0,1.0,1.0,0.2774860608426763,0.9938888233026255,0.661496199459081,1.0,1.0,52.58450556637074
wav2vec2-base-960h_batch2-inf,1.0,0.5782082714208224,1.0,0.4163144099722503,0.8717991927662279,0.8330765631723457,0.5446304762980363,0.4163144099722503,0.12780677623243122,0.6357292442147153,0.35087164938969445,0.5446304762980363,0.8330765631723457,119.14691721842664
albert-base-v2_batch8-train,1.0,0.48304666546087044,1.0,0.2778883294133905,0.9248744559537534,1.0,0.21664155443072475,0.2778883294133905,0.23232345843721827,0.9248744559537534,0.2778883294133905,1.0,0.9248744559537534,92.50244247345861
vit-base-patch16-224_batch2-inf,1.0,0.6781132526234073,0.9949170330470198,0.8575595254353239,0.9949170330470198,0.8575595254353239,0.8575595254353239,0.8575595254353239,0.11013204060735496,0.9140425297435947,0.45113416138436896,0.8575595254353239,0.9147804505891403,140.29303667130998
bert-base-cased_batch16-train,1.0,0.4939373165131207,1.0,0.3963235710313099,0.8942218852724193,1.0,0.27434055468403623,0.3963235710313099,0.15993465140073365,0.8942218852724193,0.4055756522128341,1.0,0.8942218852724193,87.79801481660778
bert-base-cased_batch2-inf,1.0,0.7546764593208629,0.8660996568459615,0.8660996568459615,0.7372214213705458,0.8660996568459615,0.8660996568459615,0.8660996568459615,0.8660996568459615,0.7372214213705458,0.7372214213705458,0.8660996568459615,0.7040117923573593,148.17847609830528
bert-base-cased_batch2-train,1.0,0.5002080211858267,0.9827826973083751,0.9095122975323588,0.9095122975323588,0.9095122975323588,0.4980607364592595,0.9095122975323588,0.07944887407799306,0.6892719279087695,0.33795948753442673,0.4980607364592595,1.0,99.59142512302661
vit_h_14_batch2-train,1.0,0.4531915905218472,0.8520637907577886,0.7562485685131766,0.8520637907577886,0.7562485685131766,0.7562485685131766,0.7562485685131766,0.059893528995699385,1.0,0.0912697482533939,0.7562485685131766,1.0,83.69071239527932
whisper-large-v2_batch2-inf,1.0,0.25905708510346503,1.0,0.07931120838920333,0.053745248258453095,1.0,0.053745248258453095,0.07931120838920333,0.05849548368105125,1.0,0.07931120838920333,1.0,1.0,70.0567940529274
