workload1,workload2,"(LS10, BE90)","(LS20, BE80)","(LS30, BE70)","(LS40, BE60)","(LS50, BE50)","(LS60, BE40)","(LS70, BE30)","(LS80, BE20)","(LS90, BE10)","(LS100, BE100)"
vit_h_14_batch8-train,mobilenet_v2_1.0_224_batch2-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(9.419152276295133, 52.941709727132626)"
vit_h_14_batch8-train,vit-base-patch16-224_batch8-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(8.319939491349153, 50.04391696480216)"
vit_h_14_batch8-train,mobilenet_v2_1.0_224_batch8-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(9.333213676747734, 71.80842888321908)"
vit_h_14_batch8-train,wav2vec2-base-960h_batch8-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(8.219286344656805, 50.39200577306474)"
vit_h_14_batch8-train,bert-base-cased_batch2-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(7.88091068301226, 44.93344617988767)"
vit_h_14_batch16-train,whisper-large-v2_batch16-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(10.425716768027801, None)"
vit_h_14_batch16-train,whisper-large-v2_batch2-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(10.407350191072446, None)"
vit_h_14_batch16-train,bert-base-cased_batch16-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(5.690799873537781, 54.06468784354568)"
vit_h_14_batch16-train,resnet-50_batch8-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(10.007242083086444, 48.55135719333251)"
vit_h_14_batch16-train,resnet-50_batch2-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(10.258054175348613, 33.70462284296185)"
vit_h_14_batch16-train,bert-base-cased_batch8-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(7.2537685594468995, 38.706897980149456)"
vit_h_14_batch16-train,mobilenet_v2_1.0_224_batch2-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(10.328133405056482, 41.60433140984541)"
vit_h_14_batch16-train,vit-base-patch16-224_batch8-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(9.381413075344474, 39.05244328535366)"
vit_h_14_batch16-train,mobilenet_v2_1.0_224_batch8-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(10.274705672493756, 64.05088974801897)"
vit_h_14_batch16-train,vit-base-patch16-224_batch2-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(10.025062656641603, 53.96913409111912)"
vit_h_14_batch16-train,wav2vec2-base-960h_batch2-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(9.674708426425072, 9.19963201471941)"
vit_h_14_batch16-train,wav2vec2-base-960h_batch16-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(9.237875288683604, 99.62009286618826)"
vit_h_14_batch16-train,bert-base-cased_batch2-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, None)","(None, 82.74298668177954)"
