,ALBERT_b2-train,ALBERT_b8-train,ALBERT_b16-train,BERT_b2-inf,BERT_b8-inf,BERT_b16-inf,BERT_b2-train,BERT_b8-train,BERT_b16-train,ViT_b2-inf,ViT_b8-inf,ViT_b16-inf,ViT_b2-train,ViT_b8-train,ViT_b16-train,Wav2vec2_b2-inf,Wav2vec2_b8-inf,Wav2vec2_b16-inf,Whisper_b2-inf,Whisper_b8-inf,Whisper_b16-inf
KACE,0.9349046754332571,0.9204699531174757,0.9715137457681242,0.9084236510325627,0.9174132750884263,0.8911645690695167,0.7987401364903715,0.9744666595401863,0.9659897840623455,0.8037867042105441,0.8092494082766304,0.9055296949450579,0.8295674748615957,0.9849748911907508,0.8552088227185706,1.0,0.8493700736381911,0.9275240039667791,0.9661775474747557,0.9266999371041988,0.8920652684211049
hotcloud,0.543795834547134,0.9085224538762644,0.8324022729570595,0.9170329664579999,0.9473980641093537,0.7603670687508608,0.911146403453689,0.869760487828036,0.9645810613903947,0.4280596161279301,0.8440875974054542,0.8499458422157338,0.9301331568046208,0.8709623306750217,0.9256919659933918,0.7403049027475177,0.7559236348738283,0.8333682507703551,0.8468804776864071,0.7439733893704519,0.6456694835251181
memcap,1.0,0.8742089013372489,0.8371259511718396,0.7278607965459852,0.7082302210513765,0.7451257591879779,0.8125702171733152,0.9225423753295938,0.9119777636369772,0.5499587292445104,0.7609442917122357,0.6666625912284023,0.7408919141057522,0.6486566069477295,0.9155675772843808,0.7350984149493328,0.7129988279256632,0.6989234010658849,0.7091303029838131,0.9726193846480422,0.8344956804399912
