Train Ratio	MSE	R2
trainratio_0.4	0.1377895498945368	0.861633924792097
trainratio_0.8	0.11802552071372419	0.8804804853531908
trainratio_0.9	0.13499650027920915	0.8615420509956829
trainratio_0.3	0.12927899804585938	0.8702576363697468
trainratio_0.2	0.13490435601432968	0.8646727463179138
trainratio_0.5	0.11564428833561062	0.883774584587326
trainratio_0.7	0.10960151823078491	0.8894774606076119
trainratio_0.6	0.11659822564937856	0.882668452176726
trainratio_0.1	0.23482863287868974	0.7645172483667735
