HPworkload,ground truth,random,prediction,_PCIe read bandwidth,_PCIe write bandwidth,_Long_Kernel,_ave_Kernel_Length,_long/short_Ratio,_avg_Thread,exclusive_throughput,sm%,mem%,CPU%,MainMem%,ground truth value
whisper-large-v2_batch8-inf,1.0,0.33557596868918693,1.0,1.0,1.0,0.13002544337590874,0.1413769319697015,0.1413769319697015,0.13002544337590874,1.0,0.13002544337590874,0.7455173329625875,1.0,0.1413769319697015,60.85290992603713
vit-base-patch16-224_batch8-inf,1.0,0.6687087162696438,0.8475508953643445,0.8213231103535504,0.8213231103535504,0.8475508953643445,0.8475508953643445,0.3821646118146562,0.8475508953643445,0.6347283312557248,0.43300427075440856,0.8475508953643445,0.4628843196202806,0.5500134727362698,164.68619473544885
albert-base-v2_batch2-train,1.0,0.4391591243661494,0.6886976108755235,0.33864794656144115,1.0,0.298721061405058,0.3089331943954119,0.3089331943954119,0.298721061405058,0.6886976108755235,0.2409788861793479,0.5030150223580282,0.9327473081304968,0.3089331943954119,100.3471630584049
bert-base-cased_batch8-inf,1.0,0.8098353128659131,0.8100018786046198,0.567653680622477,0.9958906889223409,0.8185795337680415,0.8268246450260778,0.8268246450260778,0.8185795337680415,0.8100018786046198,0.567653680622477,0.8415041880522015,1.0,0.9599294197859067,113.2024145437841
wav2vec2-base-960h_batch8-inf,1.0,0.5812494820427778,0.9902907401573539,0.4332363774853572,0.4332363774853572,0.47741268319685826,0.5408816857225652,0.5408816857225652,0.9902907401573539,0.7896620849932613,0.47741268319685826,1.0,0.7896620849932613,0.7068441768316699,120.63426590505317
bert-base-cased_batch8-train,1.0,0.5681808495255793,0.8846027208142897,0.3698120964530976,0.3698120964530976,0.6367572013849245,0.6367572013849245,0.3609877983214358,0.6367572013849245,0.8186076151158612,0.36760076136275066,0.6367572013849245,0.8186076151158612,0.3609877983214358,94.56497148992443
bert-base-cased_batch16-inf,1.0,0.6685871877927237,0.9307997442515209,0.5248421970324572,0.5248421970324572,0.8420659676983189,0.8420659676983189,0.6905420286133422,0.8420659676983189,0.775804652083366,0.6182396137378569,0.8420659676983189,0.775804652083366,0.6905420286133422,145.3165178952383
vit_h_14_batch8-train,1.0,0.4804588900723489,1.0,0.35316340333778196,0.35316340333778196,0.7829341463800602,0.7829341463800602,0.7829341463800602,0.7829341463800602,0.9574444325669773,0.13866097153499876,0.7829341463800602,0.9574444325669773,0.3059275556957955,70.24698151314354
vit-base-patch16-224_batch16-inf,1.0,0.6907608751767433,1.0,0.8823843317812649,0.8823843317812649,0.8518809782245322,0.8518809782245322,0.42539566941519485,0.8518809782245322,0.7519658341707015,0.5616891119626276,0.8518809782245322,0.5616891119626276,0.8997625838421885,164.68619473544885
whisper-large-v2_batch16-inf,1.0,0.30834285317470156,0.3350483984690859,0.3164147431222791,1.0,0.3350483984690859,0.3350483984690859,0.16430429476399308,0.3350483984690859,1.0,0.23360236750168367,0.3350483984690859,0.3164147431222791,0.16430429476399308,46.115004525352035
wav2vec2-base-960h_batch16-inf,1.0,0.7321308690138172,0.8440919818594271,0.7404341021373785,0.7404341021373785,0.5180715029732726,0.5580567580990071,0.5580567580990071,0.8440919818594271,0.7404341021373785,0.5180715029732726,1.0,0.7404341021373785,0.5580567580990071,123.8383918006404
albert-base-v2_batch16-train,1.0,0.5245792070608928,1.0,0.45608041232739366,1.0,0.44130907923320595,0.4455637167257315,0.4455637167257315,0.44130907923320595,1.0,0.37005402136749815,0.6852544651203087,0.8425494915750965,0.6121217939728244,76.26824051724324
wav2vec2-base-960h_batch2-inf,1.0,0.5469535566882836,0.9362292935767959,0.8717991927662279,0.8717991927662279,0.4163144099722503,0.4236461307417013,0.4236461307417013,0.4163144099722503,0.8717991927662279,0.43033609982218207,0.5446304762980363,0.36577637644896194,0.4236461307417013,119.14691721842664
