HPworkload,ground truth,random,prediction,_Threads,_Compute (SM) Throughput,_DRAM Throughput,_Memory Throughput,_Registers,_Static Shared Memory,exclusive_throughput,sm%,mem%,memcap,ground truth value
whisper-large-v2_batch8-inf,1.0,0.341809069577922,1.0,0.13002544337590874,1.0,0.7455173329625875,0.2502391981949239,0.13002544337590874,0.1011913761305083,1.0,0.2148747107825875,0.2502391981949239,1.0,60.85290992603713
vit-base-patch16-224_batch8-inf,1.0,0.6915541902791923,0.9821456060138438,0.8475508953643445,0.9821456060138438,0.8475508953643445,0.8475508953643445,0.8475508953643445,0.8475508953643445,0.6347283312557248,0.43300427075440856,0.8475508953643445,0.8719359223002174,164.68619473544885
albert-base-v2_batch2-train,1.0,0.5233454967952457,1.0,0.7060050740300098,0.9118106417235419,0.7060050740300098,0.7060050740300098,0.7060050740300098,0.08573433911394603,0.6886976108755235,0.33183124328298846,0.7060050740300098,0.9327473081304968,100.3471630584049
bert-base-cased_batch8-inf,1.0,0.6964751262522146,0.7497007093472036,0.9460930204107993,0.9460930204107993,0.9460930204107993,0.9460930204107993,0.9460930204107993,0.5126704761776406,0.7466199559173542,0.425570367026222,1.0,0.7196597669367438,150.99680863628137
wav2vec2-base-960h_batch8-inf,1.0,0.5960775085603306,0.8250382036123179,0.7736294696171478,1.0,0.7736294696171478,0.7736294696171478,0.7736294696171478,0.21685313088748912,0.8250382036123179,0.43748402354698124,0.7736294696171478,0.7137743979302026,119.46299647145413
bert-base-cased_batch8-train,1.0,0.44992402278845345,0.8186076151158612,0.6367572013849245,0.6032184485446053,0.6367572013849245,0.6367572013849245,0.6367572013849245,0.11278635473234923,0.8186076151158612,0.36760076136275066,0.6367572013849245,0.6032184485446053,94.56497148992443
bert-base-cased_batch16-inf,1.0,0.6857286372848526,0.775804652083366,0.8420659676983189,0.7517407404743053,0.8420659676983189,0.8420659676983189,0.8420659676983189,0.4187611347108335,0.6592250729665194,0.5887365551843904,0.8420659676983189,0.7517407404743053,145.3165178952383
vit_h_14_batch8-train,1.0,0.43916528416803113,1.0,0.7829341463800602,0.11161524205369235,0.7829341463800602,0.7829341463800602,0.7829341463800602,0.08765913587061978,1.0,0.3059275556957955,0.7829341463800602,0.7829341463800602,70.24698151314354
vit-base-patch16-224_batch16-inf,1.0,0.6598679520096135,0.8823843317812649,0.8518809782245322,1.0,0.8518809782245322,0.8518809782245322,0.8518809782245322,0.3608862720942287,0.8823843317812649,0.48945445739378673,0.8518809782245322,0.8997625838421885,164.68619473544885
whisper-large-v2_batch16-inf,1.0,0.48553923657961245,0.7446484508152941,0.7446484508152941,0.19649278005649315,0.7446484508152941,0.7446484508152941,0.7446484508152941,0.21835179898513768,1.0,0.25587272822487644,0.7446484508152941,0.7446484508152941,20.749064064656633
wav2vec2-base-960h_batch16-inf,1.0,0.8263901074788248,0.9164391234155603,0.8541197286802988,1.0,0.8541197286802988,0.8541197286802988,0.8541197286802988,0.8541197286802988,0.9164391234155603,0.6611326373100704,0.8541197286802988,0.8020298148264314,104.53099356528678
albert-base-v2_batch16-train,1.0,0.5213062731136067,1.0,0.6894679254398438,1.0,0.6894679254398438,0.6894679254398438,0.6894679254398438,0.19131773870767432,1.0,0.37005402136749815,0.6894679254398438,0.8425494915750965,76.26824051724324
wav2vec2-base-960h_batch2-inf,1.0,0.5393183512409927,0.8717991927662279,0.9362292935767959,0.9362292935767959,0.9362292935767959,0.5446304762980363,0.9362292935767959,0.3217225667668806,0.6357292442147153,0.43033609982218207,0.5446304762980363,0.8717991927662279,119.14691721842664
albert-base-v2_batch8-train,1.0,0.4151494782365539,0.9248744559537534,0.6251166855463627,0.9248744559537534,0.6251166855463627,0.6251166855463627,0.6251166855463627,0.14135574230256517,0.9248744559537534,0.2778883294133905,0.6251166855463627,0.9248744559537534,92.50244247345861
vit-base-patch16-224_batch2-inf,1.0,0.603599777571975,0.8722178745812824,0.8575595254353239,0.9949170330470198,0.8575595254353239,0.8575595254353239,0.8575595254353239,0.11013204060735496,0.6363964027084391,0.4121717058518611,0.8575595254353239,0.8575595254353239,140.29303667130998
bert-base-cased_batch16-train,1.0,0.5211589267551998,1.0,1.0,1.0,1.0,0.5717007991984785,1.0,0.32676231609121625,0.6579126479085039,0.4657730199372706,0.5717007991984785,0.6579126479085039,76.23065720097128
bert-base-cased_batch2-inf,1.0,0.6457016675260276,0.9690733288517678,0.9690733288517678,0.9690733288517678,0.9690733288517678,0.9690733288517678,0.9690733288517678,0.38496370654381057,0.565783746872726,0.6262909125798037,1.0,0.7040117923573593,148.17847609830528
bert-base-cased_batch2-train,1.0,0.4998951540738977,1.0,0.9095122975323588,0.9095122975323588,0.9095122975323588,0.4980607364592595,0.9095122975323588,0.17124130562754725,1.0,0.19633391028838287,0.4980607364592595,0.6964830732245132,99.59142512302661
vit_h_14_batch16-train,1.0,0.6439712500952453,1.0,0.28694781402819264,1.0,1.0,0.644965936257543,0.28694781402819264,1.0,1.0,0.28694781402819264,0.644965936257543,0.28694781402819264,59.43298688346033
vit_h_14_batch2-train,1.0,0.45786642509136505,0.7684013874786446,0.7684013874786446,0.7684013874786446,0.7684013874786446,0.5524962761686673,0.7684013874786446,0.057208594366677856,1.0,0.08230815809032595,0.5524962761686673,1.0,92.80283302029225
whisper-large-v2_batch2-inf,1.0,0.33254757192778106,1.0,0.7411619413991534,0.7411619413991534,0.7411619413991534,0.7411619413991534,0.7411619413991534,0.04825896926325958,1.0,0.2359937001088853,0.825003337460946,1.0,84.91698260098705
