HPworkload,ground truth,random,prediction,_Threads,_Compute (SM) Throughput,_DRAM Throughput,_Memory Throughput,_Registers,_Static Shared Memory,exclusive_throughput,sm%,mem%,memcap,ground truth value
whisper-large-v2_batch8-inf,1.0,0.33557596868918693,1.0,0.13002544337590874,1.0,0.7455173329625875,0.0673428116790249,0.13002544337590874,0.07344003228970869,1.0,0.13002544337590874,0.7455173329625875,1.0,60.85290992603713
vit-base-patch16-224_batch8-inf,1.0,0.6687087162696438,1.0,0.8475508953643445,0.9821456060138438,0.8475508953643445,0.8475508953643445,0.8475508953643445,0.8475508953643445,0.6347283312557248,0.43300427075440856,0.8475508953643445,0.8475508953643445,164.68619473544885
albert-base-v2_batch2-train,1.0,0.4391591243661494,1.0,0.2409788861793479,1.0,0.9327473081304968,0.5030150223580282,0.2409788861793479,0.08573433911394603,0.6886976108755235,0.2409788861793479,0.5030150223580282,0.9327473081304968,100.3471630584049
bert-base-cased_batch8-inf,1.0,0.8098353128659131,1.0,0.8185795337680415,0.9958906889223409,0.9599294197859067,0.9599294197859067,0.8185795337680415,0.5941355723325227,0.8100018786046198,0.567653680622477,0.8415041880522015,0.9599294197859067,113.2024145437841
wav2vec2-base-960h_batch8-inf,1.0,0.5812494820427778,0.7896620849932613,0.9902907401573539,0.9902907401573539,0.9902907401573539,0.9902907401573539,0.9902907401573539,0.21474764749201114,0.7896620849932613,0.47741268319685826,1.0,0.7068441768316699,120.63426590505317
bert-base-cased_batch8-train,1.0,0.5681808495255793,0.8186076151158612,0.6367572013849245,0.8846027208142897,0.6367572013849245,0.6367572013849245,0.6367572013849245,0.6367572013849245,0.8186076151158612,0.36760076136275066,0.6367572013849245,0.8186076151158612,94.56497148992443
bert-base-cased_batch16-inf,1.0,0.6685871877927237,0.775804652083366,0.8420659676983189,0.9307997442515209,0.8420659676983189,0.8420659676983189,0.8420659676983189,0.4187611347108335,0.775804652083366,0.6182396137378569,0.8420659676983189,0.775804652083366,145.3165178952383
vit_h_14_batch8-train,1.0,0.4804588900723489,0.9574444325669773,0.7829341463800602,1.0,0.7829341463800602,0.7829341463800602,0.7829341463800602,0.08765913587061978,0.9574444325669773,0.13866097153499876,0.7829341463800602,0.9574444325669773,70.24698151314354
vit-base-patch16-224_batch16-inf,1.0,0.6907608751767433,0.9710243287274416,0.8518809782245322,1.0,0.8518809782245322,0.8518809782245322,0.8518809782245322,0.2754748155056284,0.7519658341707015,0.5616891119626276,0.8518809782245322,0.8997625838421885,164.68619473544885
whisper-large-v2_batch16-inf,1.0,0.30834285317470156,1.0,0.3350483984690859,1.0,0.3350483984690859,0.3350483984690859,0.3350483984690859,0.09691074989343255,1.0,0.23360236750168367,0.3350483984690859,0.3350483984690859,46.115004525352035
wav2vec2-base-960h_batch16-inf,1.0,0.7321308690138172,0.7404341021373785,0.8440919818594271,0.8440919818594271,0.8440919818594271,0.8440919818594271,0.8440919818594271,0.8440919818594271,0.7404341021373785,0.5180715029732726,1.0,0.7404341021373785,123.8383918006404
albert-base-v2_batch16-train,1.0,0.5245792070608928,1.0,0.37005402136749815,1.0,0.6121217939728244,0.6121217939728244,0.37005402136749815,0.19131773870767432,1.0,0.37005402136749815,0.6852544651203087,0.6121217939728244,76.26824051724324
wav2vec2-base-960h_batch2-inf,1.0,0.5469535566882836,0.8717991927662279,0.9362292935767959,0.9362292935767959,0.9362292935767959,0.5446304762980363,0.9362292935767959,0.09161150644459877,0.8717991927662279,0.43033609982218207,0.5446304762980363,0.8717991927662279,119.14691721842664
albert-base-v2_batch8-train,1.0,0.49400695865707656,0.9248744559537534,0.6251166855463627,0.9248744559537534,0.6251166855463627,0.6251166855463627,0.6251166855463627,0.11645718692848599,0.6935724079324623,0.2778883294133905,0.6251166855463627,0.5796021446962236,92.50244247345861
vit-base-patch16-224_batch2-inf,1.0,0.5821515275476026,0.8722178745812824,0.8575595254353239,0.9949170330470198,0.8575595254353239,0.8575595254353239,0.8575595254353239,0.37944121517254087,0.8722178745812824,0.45113416138436896,0.8575595254353239,0.8722178745812824,140.29303667130998
bert-base-cased_batch16-train,1.0,0.5439425508583347,1.0,1.0,1.0,1.0,0.5717007991984785,1.0,0.4713112131502176,0.6579126479085039,0.4657730199372706,0.5717007991984785,0.6579126479085039,76.23065720097128
bert-base-cased_batch2-inf,1.0,0.5691736687090426,0.7333475884803028,0.6262909125798037,0.7040117923573593,0.7040117923573593,0.7040117923573593,0.6262909125798037,0.6262909125798037,0.7333475884803028,0.6262909125798037,1.0,0.7040117923573593,148.17847609830528
bert-base-cased_batch2-train,1.0,0.47822579954889477,1.0,0.7111853388365563,0.9095122975323588,0.7111853388365563,0.7111853388365563,0.7111853388365563,0.17124130562754725,1.0,0.19633391028838287,0.7111853388365563,0.6964830732245132,99.59142512302661
vit_h_14_batch16-train,1.0,0.6601842689803527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32036853796070525,1.0,1.0,53.2329603148077
vit_h_14_batch2-train,1.0,0.4736921146957154,0.968078505465862,0.6819940662041939,0.7684013874786446,0.6819940662041939,0.6819940662041939,0.6819940662041939,0.6819940662041939,0.968078505465862,0.08230815809032595,0.6819940662041939,1.0,92.80283302029225
whisper-large-v2_batch2-inf,1.0,0.5028424806260152,1.0,0.7411619413991534,0.7411619413991534,0.7411619413991534,0.7411619413991534,0.7411619413991534,0.04825896926325958,1.0,0.28364828032249734,0.825003337460946,1.0,84.91698260098705
