HPworkload,ground truth,random,prediction,_PCIe read bandwidth,_PCIe write bandwidth,_Long_Kernel,_ave_Kernel_Length,_long/short_Ratio,_avg_Thread,sm%,mem%,CPU%,MainMem%,ground truth value
whisper-large-v2_batch8-inf,1.0,0.363318688220542,0.7455173329625875,1.0,1.0,0.13002544337590874,0.42571382110605577,0.0673428116790249,0.13002544337590874,0.13002544337590874,0.7455173329625875,1.0,0.13002544337590874,60.85290992603713
vit-base-patch16-224_batch8-inf,1.0,0.6524503363519438,0.9821456060138438,0.8213231103535504,0.8213231103535504,0.5500134727362698,0.7253977582235047,0.3821646118146562,0.5500134727362698,0.43300427075440856,0.6773417426910135,0.4628843196202806,0.5500134727362698,164.68619473544885
albert-base-v2_batch2-train,1.0,0.4746209484629705,0.6502312881596128,1.0,1.0,0.298721061405058,0.3089331943954119,0.3089331943954119,0.298721061405058,0.2409788861793479,0.6502312881596128,0.9327473081304968,0.3089331943954119,100.3471630584049
bert-base-cased_batch8-inf,1.0,0.8098353128659131,0.9958906889223409,0.567653680622477,0.9958906889223409,0.8185795337680415,0.8268246450260778,0.8268246450260778,0.8185795337680415,0.567653680622477,0.8415041880522015,1.0,0.9599294197859067,113.2024145437841
wav2vec2-base-960h_batch8-inf,1.0,0.5916331619273697,0.9902907401573539,0.4332363774853572,0.4332363774853572,1.0,0.5408816857225652,0.5408816857225652,0.9902907401573539,0.4332363774853572,1.0,0.7896620849932613,0.7068441768316699,120.63426590505317
bert-base-cased_batch8-train,1.0,0.5681808495255793,0.6367572013849245,0.3698120964530976,0.3698120964530976,0.6367572013849245,0.6367572013849245,0.3609877983214358,0.6367572013849245,0.36760076136275066,0.6367572013849245,0.8186076151158612,0.3609877983214358,94.56497148992443
bert-base-cased_batch16-inf,1.0,0.6671910038403407,0.9307997442515209,0.5248421970324572,0.5248421970324572,0.8420659676983189,0.8420659676983189,0.6905420286133422,0.8420659676983189,0.6182396137378569,0.8420659676983189,0.775804652083366,0.6905420286133422,145.3165178952383
vit_h_14_batch8-train,1.0,0.4986439596058583,1.0,0.9574444325669773,0.9574444325669773,0.7829341463800602,0.7829341463800602,0.7829341463800602,0.7829341463800602,0.13866097153499876,0.7829341463800602,0.9574444325669773,0.3059275556957955,70.24698151314354
vit-base-patch16-224_batch16-inf,1.0,0.6907608751767433,1.0,0.8823843317812649,0.8823843317812649,0.8518809782245322,0.8518809782245322,0.42539566941519485,0.8518809782245322,0.5616891119626276,0.8518809782245322,0.5616891119626276,0.8997625838421885,164.68619473544885
whisper-large-v2_batch16-inf,1.0,0.3053755703642144,0.4499417115583214,0.3164147431222791,1.0,0.15226486939478756,0.16430429476399308,0.16430429476399308,0.15226486939478756,0.23360236750168367,0.23669581488622096,0.3164147431222791,0.16430429476399308,46.115004525352035
wav2vec2-base-960h_batch16-inf,1.0,0.7856457105239532,0.8440919818594271,0.7404341021373785,0.7404341021373785,1.0,0.5580567580990071,0.5580567580990071,0.8440919818594271,0.5580567580990071,1.0,0.7404341021373785,0.5580567580990071,123.8383918006404
albert-base-v2_batch16-train,1.0,0.5524105066248939,0.6852544651203087,0.45608041232739366,1.0,0.44130907923320595,0.6852544651203087,0.6852544651203087,0.44130907923320595,0.37005402136749815,0.6852544651203087,0.8425494915750965,0.6121217939728244,76.26824051724324
wav2vec2-base-960h_batch2-inf,1.0,0.5606543817934595,0.9362292935767959,0.8717991927662279,0.8717991927662279,0.4163144099722503,0.09161150644459877,0.09161150644459877,0.4163144099722503,0.43033609982218207,0.5446304762980363,0.36577637644896194,0.4163144099722503,119.14691721842664
albert-base-v2_batch8-train,1.0,0.4666601404036501,1.0,0.9248744559537534,0.9248744559537534,0.6251166855463627,0.6251166855463627,0.3599723746445445,0.6251166855463627,0.2778883294133905,0.6251166855463627,0.3838404961737837,0.5796021446962236,92.50244247345861
vit-base-patch16-224_batch2-inf,1.0,0.5887353032632502,0.8575595254353239,0.8722178745812824,0.8722178745812824,0.8575595254353239,0.8575595254353239,0.8575595254353239,0.8575595254353239,0.45113416138436896,0.8575595254353239,0.4121717058518611,0.4121717058518611,140.29303667130998
bert-base-cased_batch16-train,1.0,0.5439425508583347,1.0,0.4671183278449299,0.4671183278449299,0.4657730199372706,0.4646706709616116,0.4646706709616116,1.0,0.4657730199372706,0.5717007991984785,0.481026864719806,0.6579126479085039,76.23065720097128
bert-base-cased_batch2-inf,1.0,0.5691736687090426,0.7040117923573593,0.3150623048491435,0.3150623048491435,0.46810942900018043,0.5754521886483709,0.5754521886483709,0.46810942900018043,0.6262909125798037,1.0,0.7333475884803028,0.7040117923573593,148.17847609830528
bert-base-cased_batch2-train,1.0,0.47099290506604197,0.9254459811139454,0.3438801766250293,0.3438801766250293,0.7236445460266404,0.7236445460266404,0.30626085728570646,0.7236445460266404,0.19977347060148506,0.7236445460266404,0.9467539452546334,0.7086847124313713,97.87672941119317
vit_h_14_batch2-train,1.0,0.4736921146957154,0.7684013874786446,0.30412184830454586,0.968078505465862,0.6819940662041939,0.6819940662041939,0.2605690666769223,0.6819940662041939,0.08230815809032595,0.6819940662041939,0.30412184830454586,1.0,92.80283302029225
whisper-large-v2_batch2-inf,1.0,0.5028424806260152,0.7411619413991534,1.0,1.0,0.825003337460946,0.04825896926325958,0.04434000918589089,0.7411619413991534,0.28364828032249734,0.825003337460946,0.28364828032249734,1.0,84.91698260098705
