workload1,workload2,"(LS10, BE90)","(LS20, BE80)","(LS30, BE70)","(LS40, BE60)","(LS50, BE50)","(LS60, BE40)","(LS70, BE30)","(LS80, BE20)","(LS90, BE10)","(LS100, BE100)"
albert-base-v2_batch8-train,bert-base-cased_batch2-inf,"(3.898635477582846, 84.55190386564355)","(8.337675872850443, 74.13048997207413)","(None, None)","(14.626714068054849, 54.615168802020015)","(17.479092895351467, 44.93344617988767)","(20.711080428028993, 36.02936640138195)","(23.320524711806016, 28.023032629558543)","(26.52503607282105, 19.419412762278455)","(29.694617850514593, 9.490533842528643)","(24.687065368567456, 28.761388820487564)"
vit_h_14_batch8-train,whisper-large-v2_batch16-inf,"(1.1936735302894659, None)","(2.4609705452587862, None)","(3.4727246418752715, None)","(None, None)","(5.733397037744864, None)","(6.5428204229466065, None)","(7.4616922051965355, None)","(None, None)","(9.17624476228376, None)","(7.067705405188338, None)"
vit_h_14_batch8-train,whisper-large-v2_batch8-inf,"(None, None)","(None, None)","(None, None)","(4.388493638363495, 2.236732639270488)","(5.447767743376724, 1.8779926324168879)","(None, None)","(7.395150124226098, 1.142088218755252)","(8.262576917528637, 0.7898160380109022)","(9.097569103812386, 0.3760061370940584)","(3.672022370346809, 2.6932776393503772)"
vit_h_14_batch8-train,whisper-large-v2_batch2-inf,"(1.118665990805964, 2.8896461213415963)","(2.2951535936788523, 2.4782334384858045)","(3.2003543895256197, 2.2018579016877173)","(None, None)","(None, None)","(6.446566966084422, 1.3956099398125448)","(None, None)","(None, None)","(9.121904706868156, 0.3621400633855745)","(None, None)"
vit_h_14_batch8-train,bert-base-cased_batch8-inf,"(1.0370754472387866, 94.22128596734811)","(2.1447721179624666, 83.54204694995119)","(3.0559136704388097, 74.09917542076133)","(4.337336333324297, 65.12351296348385)","(None, None)","(6.3313987392741105, 44.20832724944683)","(7.357771646301406, 32.29458967163885)","(8.222231204060304, 21.14298913306224)","(9.099176191919652, 10.476945927672872)","(None, None)"
vit_h_14_batch8-train,vit-base-patch16-224_batch2-inf,"(None, 67.63816332141874)","(2.5300442757748263, 65.74903113724443)","(3.566121842496285, 62.923647525258986)","(4.8304317198349604, 61.16740225026419)","(5.912786400591279, 57.083188304907765)","(None, None)","(7.7885952712100135, 43.680916233852706)","(8.574928542262148, 35.04772759652372)","(9.25925925925926, 21.46456383744519)","(9.276898865236477, 37.88841400023102)"
vit_h_14_batch8-train,vit-base-patch16-224_batch16-inf,"(1.2282748879199163, 82.61531195886026)","(2.4749653993324108, 79.53925431949075)","(3.431646540406338, 75.45650611071171)","(4.64927574371964, 70.81811475557315)","(None, None)","(None, None)","(7.555467846973585, 51.01551462678055)","(8.356176947142085, 39.1073664129722)","(9.156520031421838, 23.599032295779335)","(8.263171599687528, 61.33372809648842)"
vit_h_14_batch8-train,wav2vec2-base-960h_batch2-inf,"(None, None)","(None, None)","(3.2639738882088944, 41.383960554595646)","(4.644412191582003, 36.334036334036334)","(None, None)","(None, None)","(None, None)","(8.318587299560356, 13.950845290524223)","(9.093109036643764, 6.830781644535027)","(7.707482681102904, 25.82579423521986)"
vit_h_14_batch8-train,wav2vec2-base-960h_batch16-inf,"(None, None)","(None, None)","(None, 53.5944344241175)","(None, 47.46433112021472)","(None, 40.7487584362664)","(None, None)","(None, None)","(None, None)","(None, 8.943543879262158)","(None, 66.1547548730065)"
vit_h_14_batch2-train,whisper-large-v2_batch16-inf,"(0.9729125164790988, 3.5842310259541943)","(1.8882561050316211, 3.2387408817653447)","(2.6071638838201507, 2.6972723764425393)","(3.3822835713682293, 2.10541380252044)","(4.0375770929919605, 1.9050718415298384)","(4.686578082192293, 1.4998448798415387)","(5.1652862161924284, 1.0730960638164329)","(5.842752562605087, 0.6520361896684965)","(6.455001537937472, 0.344121019162407)","(1.166188381259928, 3.80140057852565)"
vit_h_14_batch2-train,whisper-large-v2_batch8-inf,"(None, None)","(1.8911193153507022, 2.9529682668677415)","(2.615928501292006, 2.5154944983163863)","(3.4251480280678646, 2.0479602253590445)","(4.048997717922659, 1.7122496466959423)","(4.6991061674244525, 1.3610227073887802)","(5.224232195596317, 1.0266511100795812)","(5.873907433815469, 0.6952144713635531)","(6.453748397677396, 0.3308197879418209)","(1.5975001462147103, 3.372663906485853)"
vit_h_14_batch2-train,whisper-large-v2_batch2-inf,"(1.0025092568005036, 2.9211932271153365)","(1.9355978462633487, 2.5790727419325186)","(None, None)","(3.4758628065491366, 1.9381872225698151)","(4.092544726572398, 1.6043130207482437)","(4.747755110239058, 1.2692011916532573)","(5.26547056435091, 0.9411223506974561)","(5.884425514432184, 0.6549238334252583)","(6.468075859281002, 0.3210588796483653)","(3.0526195291334375, 2.4432115044908316)"
vit_h_14_batch2-train,bert-base-cased_batch16-inf,"(None, None)","(None, None)","(2.549432306643346, 73.2851716690251)","(3.332200495685546, 60.513813938471465)","(3.965043960269994, 49.62272357646703)","(4.647700293750755, 39.09959668607077)","(5.201531766497574, 28.96812108321343)","(5.857637054907615, 18.593006365364857)","(6.459768202804388, 9.27591972653005)","(1.9179797280198192, 86.44185050567165)"
vit_h_14_batch2-train,bert-base-cased_batch8-inf,"(0.9441596978688968, 94.05692164312853)","(1.8451358401730609, 82.69602487604001)","(2.5900345337937836, 70.53257830979858)","(3.389420167049994, 61.317007057064075)","(4.004774923947784, 48.16917955747014)","(4.654700680040417, 40.70657344971663)","(5.208576998050682, 29.090049074676283)","(5.885108625636821, 18.68085449721638)","(6.46793417312156, 9.259651351542098)","(3.163040352726924, 73.67889032402988)"
vit_h_14_batch2-train,vit-base-patch16-224_batch8-inf,"(1.0936132983377078, 78.75465204690063)","(None, None)","(None, None)","(3.721151181663434, 66.15793189229166)","(4.344806709521181, 61.35045825799613)","(4.945249028611798, 54.03624382207578)","(5.466724540431473, 44.138425998609456)","(6.0449905856704, 36.744867761419755)","(6.536533955219697, 21.2387088419076)","(5.896503698880388, 63.006242996638385)"
vit_h_14_batch2-train,vit-base-patch16-224_batch2-inf,"(1.1058277120424638, 62.83524904214559)","(2.157497303128371, 62.377179080824085)","(2.9658922392486406, 61.70439581112435)","(None, None)","(4.432717678100264, 54.68793419663203)","(None, None)","(None, None)","(6.159184558664064, 32.66281617207727)","(6.586938241614501, 19.847513009802732)","(6.33888663145063, 50.18615800479421)"
vit_h_14_batch2-train,vit-base-patch16-224_batch16-inf,"(None, None)","(2.08328615746926, 77.89663259348684)","(2.869788403629676, 72.68429605554735)","(3.681173558130332, 67.247565351102)","(4.331518852894318, 64.52511905835294)","(4.941331252772805, 57.65554619694584)","(5.43005951489071, 45.866107323894425)","(6.019880242807935, 36.18461877904492)","(6.533527887274865, 21.325993492754527)","(5.561475617800782, 75.30636258406436)"
vit_h_14_batch2-train,wav2vec2-base-960h_batch2-inf,"(1.0218679746576742, 51.627148940644545)","(2.034587995930824, 47.21607846908357)","(2.7560072345189903, 40.426495409822564)","(None, None)","(4.144814752156996, 29.170627376425855)","(4.755020080321285, 23.94537917581078)","(5.299768135144087, 17.843190696829293)","(5.914638083553949, 12.227008989715369)","(6.311207834602829, 6.380725271440731)","(4.511724547343426, 36.00762687004987)"
vit_h_14_batch2-train,wav2vec2-base-960h_batch16-inf,"(None, 64.16886543535621)","(None, None)","(None, 53.05039787798408)","(None, None)","(None, 40.74295985620132)","(None, 33.560566334556896)","(None, 25.907934304880868)","(None, 17.531044558071585)","(None, 9.150700600514726)","(None, 67.59831004224894)"
vit_h_14_batch2-train,wav2vec2-base-960h_batch8-inf,"(None, None)","(1.8985005361506144, 54.45119077324018)","(None, None)","(3.4616945591711032, 41.78678950223934)","(None, None)","(4.7039454342329625, 27.32236636177095)","(5.140995344725022, 20.68043256220451)","(5.8513912616457215, 13.317150238339016)","(6.393512253085411, 6.836999865975309)","(2.9712623222272088, 50.85711326324512)"
vit_h_14_batch2-train,bert-base-cased_batch2-inf,"(1.0251153254741159, 85.63968668407311)","(1.965280052407468, 77.08578143360752)","(None, None)","(3.5075997995657255, 54.6272136790096)","(None, None)","(4.762457892902776, 37.339202367851854)","(5.299620087475657, 27.356130108423688)","(5.947084991805197, 19.340763016687305)","(6.487709064936611, 9.227739485159656)","(6.686610576068099, 44.252563410685376)"
vit_h_14_batch16-train,whisper-large-v2_batch16-inf,"(None, None)","(2.6963262554769125, None)","(None, None)","(5.143040822886531, None)","(6.314127861089187, None)","(None, None)","(None, None)","(9.469696969696969, None)","(10.500656291018188, None)","(None, None)"
vit_h_14_batch16-train,whisper-large-v2_batch2-inf,"(None, 2.9069767441860463)","(2.7059022492812446, None)","(3.9399162767791185, None)","(5.141388174807198, None)","(6.298716636485316, None)","(7.428040854224698, None)","(8.393662784597629, None)","(9.47773719024583, None)","(10.474631751227497, None)","(None, None)"
vit_h_14_batch16-train,bert-base-cased_batch8-inf,"(1.0967167043663033, 94.04568479403613)","(2.282583884957772, 83.96262639191092)","(None, None)","(None, None)","(None, None)","(6.510902370375394, 44.2247191011236)","(7.619692672395546, 32.65279033689782)","(8.837993870423606, 21.32385606397157)","(9.962525752784744, 10.787906362288373)","(7.667425422307416, 42.02344600798616)"
vit_h_14_batch16-train,vit-base-patch16-224_batch8-inf,"(None, None)","(None, None)","(3.7920682572286304, 73.5921023109715)","(None, None)","(5.929319812687397, 65.13967959751092)","(None, None)","(7.929224330971697, 50.004446533609446)","(9.079363363687952, 41.239705789903816)","(10.03386429198545, 23.85830494502164)","(9.9074326735375, 35.76816124752367)"
vit_h_14_batch16-train,wav2vec2-base-960h_batch2-inf,"(None, 52.22570866351114)","(None, None)","(3.579685286001939, 41.336925408317896)","(None, None)","(5.684088991518274, 31.00041039239827)","(6.815035672452348, 25.46944703807449)","(7.799689785065366, 20.023653195220422)","(None, None)","(9.97724783011713, 7.081152021229034)","(9.286128845037725, 18.92464829446907)"
vit_h_14_batch16-train,wav2vec2-base-960h_batch16-inf,"(None, 64.1925777331996)","(None, 60.064724919093855)","(None, 53.526027030643654)","(None, 47.46600741656366)","(None, 40.58490002984184)","(None, 33.63914373088685)","(None, 25.974025974025974)","(None, 17.89709172259508)","(None, 8.93355667225014)","(None, 63.681592039801004)"
vit_h_14_batch16-train,bert-base-cased_batch2-inf,"(None, None)","(None, None)","(3.55792750722704, 67.54530477759474)","(4.589129499498064, 60.516605166051654)","(5.593427722426149, 48.173896014883)","(None, None)","(7.718282682103232, 31.3655488971057)","(8.953135929121007, 21.80802730435939)","(9.986996098829648, 10.586450634218766)","(10.107391029690461, 36.48768911302284)"
