workload1,workload2,"(LS10, BE90)","(LS20, BE80)","(LS30, BE70)","(LS40, BE60)","(LS50, BE50)","(LS60, BE40)","(LS70, BE30)","(LS80, BE20)","(LS90, BE10)","(LS100, BE100)"
albert-base-v2_batch16-train,mobilenet_batch16-train,"(4.049095280273314, 367.9711017459362)","(None, None)","(None, None)","(None, None)","(17.937219730941703, 421.4591090884016)","(20.990488684814693, 430.42253521126764)","(23.369036027263878, 382.3345427248843)","(None, None)","(28.975963121501483, 378.2178217821782)","(30.78042947018146, 152.99889856813857)"
albert-base-v2_batch16-train,vit_h_14_batch16-train,"(None, None)","(7.801706623323852, None)","(11.895910780669146, None)","(None, None)","(None, None)","(20.5168672321957, None)","(23.173479240424847, None)","(25.875474280027365, None)","(28.786487975032127, None)","(None, None)"
albert-base-v2_batch16-train,resnet-50_batch16-train,"(None, None)","(6.996447116698551, 175.92539289620635)","(None, None)","(13.542628501077255, 143.65627791096696)","(None, None)","(19.56246452119995, 113.63129322525471)","(22.604675057796044, 91.89595549541421)","(25.749127340314608, 68.21733113085405)","(28.842780231080997, 37.66654752073756)","(27.89316230118589, 57.500893747530434)"
albert-base-v2_batch16-train,bert-base-cased_batch16-train,"(None, None)","(6.794055201698514, 26.655560183256974)","(None, None)","(13.17055123936367, 19.971162330255883)","(None, None)","(19.575743998897142, 13.116144305854917)","(22.640352222197887, 10.14723329342234)","(25.972160372344245, 6.7305879110518)","(28.930622557520525, 3.3580604306133526)","(17.660953838681905, 16.324233042499298)"
albert-base-v2_batch16-train,mobilenet_batch2-train,"(4.053711679756777, 48.415716096324466)","(None, None)","(11.931394481730052, 48.71206324917113)","(None, None)","(17.987633501967398, 52.660601047697824)","(20.901371652514698, 50.9129681460749)","(None, None)","(26.119402985074625, 53.7573881227132)","(28.901734104046245, 49.22680412371134)","(None, None)"
albert-base-v2_batch16-train,resnet-50_batch2-train,"(None, None)","(7.598062494064013, 41.33304479549881)","(11.243851018973999, 45.797865963313754)","(15.165876777251185, 43.702093581970026)","(None, None)","(20.2275600505689, 44.403115192374756)","(22.910327546089135, 43.22244851776421)","(25.854108956602033, 35.445856917509516)","(28.856558855356496, 21.09215393959472)","(29.912133108992332, 16.15700207249503)"
albert-base-v2_batch16-train,bert-base-cased_batch8-train,"(3.3869602032176123, 28.085778648957024)","(None, None)","(10.232577970112345, 21.67727950142257)","(13.158718097707059, 19.130174861754597)","(16.38516201797663, 15.403499482538688)","(19.541321753290813, 12.769608332169437)","(None, None)","(25.765111798180758, 6.475395184599352)","(29.058715282538056, 3.2947459098818355)","(None, None)"
albert-base-v2_batch16-train,vit_h_14_batch2-train,"(None, None)","(6.263296740702919, 5.707455550575228)","(9.566334643615871, 4.998495217408371)","(None, None)","(None, None)","(None, None)","(None, None)","(25.587410993791057, 1.6493741445490775)","(28.882048595192874, 0.8350931500500618)","(None, None)"
albert-base-v2_batch16-train,albert-base-v2_batch2-train,"(3.3635429318882557, 24.501918079445613)","(None, None)","(None, None)","(12.91698018560321, 16.964691165508555)","(16.287852604988156, 14.028425273837696)","(19.43342690541828, 11.470015756789323)","(None, None)","(25.764270923372298, 6.250690575031964)","(29.136248408821388, 3.1923795642563126)","(27.03979191895225, 5.167513564723107)"
albert-base-v2_batch16-train,albert-base-v2_batch8-train,"(None, None)","(6.544234938034276, 24.467949534854085)","(9.930570166210813, 21.32740905304082)","(None, None)","(None, None)","(19.177527179417922, 12.687084943998414)","(22.432103429458927, 9.643540585744637)","(25.734814933957477, 6.441029357004116)","(29.03397176010066, 3.2759809174111565)","(21.133975049012726, 11.702964141386435)"
albert-base-v2_batch16-train,albert-base-v2_batch16-train,"(3.273896521484946, 29.116009098752844)","(None, None)","(None, None)","(12.777272765888759, 19.13283714409418)","(16.03424456517849, 16.00331102986825)","(None, None)","(22.45358647978233, 9.950302101036312)","(25.75639857579636, 6.5606685094981225)","(28.963729332938236, 3.3223780780329233)","(None, None)"
