workload1,workload2,"(LS10, BE90)","(LS20, BE80)","(LS30, BE70)","(LS40, BE60)","(LS50, BE50)","(LS60, BE40)","(LS70, BE30)","(LS80, BE20)","(LS90, BE10)","(LS100, BE100)"
bert-base-cased_batch2-inf,whisper-large-v2_batch16-inf,"(11.587171892554387, 23.366473647495194)","(22.849397764085015, 22.080142341888497)","(32.477073864090805, 20.865883520763326)","(39.866813330558614, 19.277649624039043)","(49.04337924196763, 18.465796433191393)","(None, None)","(64.99369056446682, 12.428354537644026)","(74.49822552265069, 9.094762803961617)","(83.10703190954042, 5.688589243035757)","(None, None)"
bert-base-cased_batch2-inf,whisper-large-v2_batch2-inf,"(11.974848632951161, 1.6377255648960678)","(23.335946936786115, 1.5495782288772177)","(33.25606202561769, 1.519204022681074)","(41.35256663611024, 1.460900739412951)","(50.370011896840275, 1.3087454659303093)","(59.761837832018514, 1.2296724097434268)","(66.1581651570528, 1.091260561843295)","(74.61365851108712, 0.8857115743523234)","(82.78307553375697, 0.5613089725239258)","(66.16889889575022, 1.4962141248658696)"
bert-base-cased_batch2-inf,resnet-50_batch8-inf,"(None, None)","(24.31834929992631, 86.03654804581622)","(35.27980535279805, 84.78921177915169)","(44.31302819011848, 83.81422882817658)","(53.658345109122315, 82.02905195590105)","(63.15789473684211, 80.0927904279348)","(69.96162592382035, 74.90294587805435)","(78.65822237736664, 69.21656554998681)","(85.33771778620488, 55.0281711801138)","(81.88275126044236, 77.31138653729056)"
bert-base-cased_batch2-inf,resnet-50_batch2-inf,"(12.72027074337729, 62.675159235668794)","(24.53781512605042, 62.41278701002157)","(35.518672199170126, 63.028439661798615)","(44.33029981575568, 65.57377049180327)","(53.95624280309262, 62.148676814248724)","(63.55522099150446, 62.476190476190474)","(69.6689332292944, 64.25493012929346)","(79.19114922449845, 61.99206199206199)","(84.84745329985958, 48.6935866983373)","(83.19660264453238, 55.50854628532747)"
bert-base-cased_batch2-inf,resnet-50_batch16-inf,"(12.583846717804501, 88.74158747336739)","(24.137191854233656, 88.14736017020323)","(35.2790595119013, 88.12762384550797)","(44.12751677852349, 86.08076632877342)","(53.542299035701745, 84.63333082472342)","(62.44946444792716, 82.0718128362317)","(69.58460790760171, 78.544061302682)","(78.34978531273516, 72.50020722239107)","(84.63229272917954, 58.82484811800838)","(81.40297092606973, 83.06776692062553)"
bert-base-cased_batch2-inf,bert-base-cased_batch8-inf,"(10.250198015188928, 93.49834905100126)","(20.86540798962807, 83.00295234078447)","(29.661316552358056, 72.79183311140702)","(37.386695103973906, 64.6847113346152)","(46.33401221995926, 52.15179139283443)","(55.846573444737864, 44.188474621939314)","(63.71597257994215, 32.288761279737486)","(73.47240950794533, 21.43592368898305)","(82.72927110974959, 10.840154302821405)","(26.22054210568648, 82.79343710559529)"
bert-base-cased_batch2-inf,vit-base-patch16-224_batch8-inf,"(12.332860079252399, 79.42369392820389)","(23.91011567625408, 77.16134091354637)","(33.98854120758043, 74.00304585707033)","(42.423053020639124, 68.5391888832779)","(51.32007847862694, 64.60296096904442)","(59.68637968309571, 57.08236044842138)","(67.3672088671369, 49.754136697468056)","(76.45670937490667, 41.12637793218745)","(84.02382185396168, 24.005855086606488)","(69.96856626329419, 68.86777596976536)"
bert-base-cased_batch2-inf,mobilenet_v2_1.0_224_batch8-inf,"(12.76595744680851, 87.6458537454351)","(24.525911131155638, 88.84274202649934)","(35.660716171965774, 88.49517728264047)","(44.82808948937679, 87.12976490901846)","(54.32150752710812, 88.5927793283515)","(63.39238357908136, 89.63177191264546)","(70.67211042258192, 87.63414525537694)","(79.7287578341724, 87.49777698737329)","(86.16857582492734, 79.12034896576678)","(84.49584674694964, 84.70345183782388)"
bert-base-cased_batch2-inf,vit-base-patch16-224_batch2-inf,"(None, None)","(24.33384717022682, 63.93762183235867)","(34.88563435905874, 63.86292834890966)","(43.52342370416537, 60.2092639050358)","(52.710046650315014, 56.447911886186326)","(61.77841676469307, 50.23227321455919)","(68.6825710378362, 43.02391675047003)","(77.79367763756991, 35.892759438263724)","(84.41157195019193, 21.934419651813382)","(75.85801795753964, 47.86225010944112)"
bert-base-cased_batch2-inf,vit-base-patch16-224_batch16-inf,"(12.128956362124393, 82.74644186095402)","(23.56618039581089, 79.485444833749)","(33.19921365448566, 75.4528898686859)","(41.921861214140705, 70.5306824596142)","(50.95038023273631, 66.4085237769848)","(60.225809572718276, 61.226870756235854)","(66.74538875873783, 51.53687518413041)","(75.1174171673016, 40.18581857164735)","(83.46245567727627, 24.214027377583214)","(66.32750640706881, 78.92599685178315)"
bert-base-cased_batch2-inf,mobilenet_v2_1.0_224_batch16-inf,"(12.732774674115456, 94.12439916780257)","(24.343742007486807, 94.84108816655021)","(35.44134284592828, 94.4757149886586)","(44.6973426605452, 93.82486501948726)","(54.160352585977535, 94.75432725872072)","(63.67015730540822, 93.16086580906284)","(70.61383340249661, 92.13590983040532)","(78.78551628551628, 89.55325756800109)","(85.76102810738361, 80.84874752226114)","(84.18685159256033, 90.58583905823869)"
bert-base-cased_batch2-inf,wav2vec2-base-960h_batch2-inf,"(12.608396421197522, 16.616387307015987)","(24.26430763675754, 14.467917743566694)","(34.90161146651551, 16.378844257863435)","(43.81004381004381, 15.83202680684927)","(52.74304669558561, 15.449459268925589)","(62.76925682470124, 12.563733502476154)","(68.61116647841783, 13.184337519040486)","(77.54603624285645, 11.483872406372992)","(84.51247837564011, 7.834963715750559)","(78.64640451198497, 13.43840513529734)"
bert-base-cased_batch2-inf,wav2vec2-base-960h_batch16-inf,"(12.394773537158498, 124.52961356526471)","(24.033348410205004, 118.20229232115449)","(34.768967818218, 113.31133113311331)","(43.14159292035398, 111.02128806251685)","(52.273757365160904, 102.95367084811835)","(61.44130379424497, 96.33595996913508)","(68.49540505660312, 80.82869026131993)","(77.02438671394457, 66.48539177162591)","(83.03748784920333, 47.24553919544975)","(72.64930629137008, 121.23530536878191)"
bert-base-cased_batch2-inf,wav2vec2-base-960h_batch8-inf,"(12.576365024818632, 57.25164320553618)","(24.10303384798755, 52.715757149254685)","(34.61081402257872, 60.354804213116914)","(43.88321296459398, 52.87881510383243)","(52.391224527262715, 55.44042845224319)","(61.98314406679064, 46.96334123654934)","(68.4212117852211, 47.9968312771584)","(77.50212213911624, 37.18243761563106)","(83.91055480077507, 24.973329453981187)","(75.79241160792927, 55.64559697460832)"
