workload,10,20,30,40,50,60,70,80,90,100
vit_h_14_batch8-train,,,,,5.61498407005501,,,,,9.449948668472548
mobilenet_batch16-train,,,,,394.27170687653205,,,,,380.1940781288878
vit_h_14_batch16-train,,,,,5.829279923700525,,,,,10.399934660096376
resnet-50_batch16-train,,,,,146.24808575803982,,,,,204.81200991890626
bert-base-cased_batch16-train,,,,,,,,,,34.99047942235545
mobilenet_batch2-train,,,,,53.01137940605051,,,,,48.17150063051702
resnet-50_batch2-train,,,,,47.49471590202661,,,,,38.699219937189746
bert-base-cased_batch8-train,,,,,,,,,,30.870152421377583
vit_h_14_batch2-train,,,,,4.3259648487044755,,,,,6.894062443602238
albert-base-v2_batch2-train,,,,,16.292407573500977,,,,,25.658968975973874
albert-base-v2_batch8-train,,,,,17.52576378556498,,,,,29.934518241347053
albert-base-v2_batch16-train,,,,,18.496372478673365,,,,,31.17965258878473
resnet-50_batch8-train,,,,,120.70463701714195,,,,,156.1733442354865
bert-base-cased_batch2-train,,,,,,,,,,24.35184729669897
mobilenet_batch8-train,,,,,189.5311337137187,,,,,210.75862068965517
whisper-large-v2_batch16-inf,,,,,19.425669702320473,,,,,25.458972124897265
whisper-large-v2_batch8-inf,,,,,8.653153465356931,,,,,10.61475399277063
whisper-large-v2_batch2-inf,,,,,1.3780302604195962,,,,,1.7415952479329664
bert-base-cased_batch16-inf,,,,,58.32874475478003,,,,,102.08354102282922
resnet-50_batch8-inf,,,,,81.06396453451552,,,,,86.94175581592799
resnet-50_batch2-inf,,,,,64.95263870094723,,,,,64.81012658227849
resnet-50_batch16-inf,,,,,84.7191197153967,,,,,89.49745083758194
bert-base-cased_batch8-inf,,,,,55.76937041609178,,,,,98.9818275550973
mobilenet_v2_1.0_224_batch2-inf,,,,,66.99232379623167,,,,,66.9106116048092
vit-base-patch16-224_batch8-inf,,,,,66.44173371398911,,,,,80.56225742158817
mobilenet_v2_1.0_224_batch8-inf,,,,,88.72458410351202,,,,,88.88888888888889
vit-base-patch16-224_batch2-inf,,,,,58.688674919761574,,,,,66.78260869565217
vit-base-patch16-224_batch16-inf,,,,,67.34183874786268,,,,,82.14343012995347
mobilenet_v2_1.0_224_batch16-inf,,,,,95.15549498203444,,,,,95.18792798934092
wav2vec2-base-960h_batch2-inf,,,,,16.78369583832848,,,,,18.77529516009292
wav2vec2-base-960h_batch16-inf,,,,,108.46957849564279,,,,,137.1573147793665
wav2vec2-base-960h_batch8-inf,,,,,62.22718965699527,,,,,72.43701320393129
bert-base-cased_batch2-inf,,,,,51.599032518140284,,,,,84.71211118464592
