workload1,workload2,"(LS10, BE90)","(LS20, BE80)","(LS30, BE70)","(LS40, BE60)","(LS50, BE50)","(LS60, BE40)","(LS70, BE30)","(LS80, BE20)","(LS90, BE10)","(LS100, BE100)"
bert-base-cased_batch8-train,resnet-50_batch2-inf,"(4.036734281965889, 63.48516143059028)","(7.928642220019823, 62.99212598425196)","(None, None)","(14.862354332038507, 64.64467566969226)","(None, None)","(None, None)","(23.127199597787833, 61.41550110421706)","(24.82544608223429, 60.62493511886225)","(None, None)","(29.823413996075868, 38.25494563081357)"
vit_h_14_batch8-train,resnet-50_batch2-inf,"(None, None)","(None, None)","(None, None)","(None, 63.42999891386987)","(None, None)","(None, None)","(7.511737089201878, 64.12649610189965)","(None, None)","(None, None)","(9.32944606413994, 62.35985050720769)"
vit_h_14_batch8-train,resnet-50_batch16-inf,"(1.16282450071223, 88.52508716083068)","(None, None)","(None, None)","(4.495223824686271, 84.3473551182524)","(5.530454534232033, 84.08019292373034)","(None, None)","(7.355744432733062, 76.98264924450889)","(None, None)","(None, None)","(9.011458535637988, 72.1901171235205)"
vit_h_14_batch8-train,wav2vec2-base-960h_batch8-inf,"(1.1542345981820805, 55.97673976250645)","(2.3319288761692767, 60.127552137300974)","(None, None)","(4.464424120291428, 52.32277564704986)","(5.466857178356215, 53.823844485668744)","(6.295038515696182, 50.25738612798556)","(7.292697297477571, 42.5844194772039)","(None, None)","(None, None)","(8.219286344656805, 50.39200577306474)"
vit_h_14_batch16-train,bert-base-cased_batch16-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(5.090582422518341, 51.51729004940014)","(6.074699824403208, 40.842731007955244)","(7.119785792651583, 30.75586217792582)","(8.263944199068376, 20.471385192423135)","(None, None)","(5.690799873537781, 54.06468784354568)"
vit_h_14_batch16-train,vit-base-patch16-224_batch8-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(5.448663374765878, 63.349152542372885)","(6.354249404289119, 56.14170011295633)","(7.44047619047619, 49.020019305829514)","(8.516121802952629, 39.34183269616181)","(None, None)","(9.381413075344474, 39.05244328535366)"
albert-base-v2_batch8-train,whisper-large-v2_batch8-inf,"(None, None)","(None, None)","(10.972397695882139, 2.622797154580544)","(14.319273517758845, 2.145535111940161)","(None, None)","(20.779575542317133, 1.432487562648256)","(23.1148037879096, 1.0613126906191446)","(26.225130740987762, 0.7334397156975947)","(29.311838138019347, 0.34557491909865506)","(12.23694549995156, 2.642346785314999)"
albert-base-v2_batch8-train,whisper-large-v2_batch2-inf,"(3.9158100832109644, 2.902222044919615)","(7.651672802945414, 2.5304457845468895)","(11.265731865674546, 2.244391912476428)","(14.595922578696873, 1.9989696032972697)","(17.41072946666562, 1.6501369443546605)","(21.01746590337804, 1.2631825689487153)","(23.354142473101035, 0.9953533076684961)","(26.318445289840763, 0.6737007819327804)","(29.569323526605704, 0.33366489610236977)","(None, None)"
albert-base-v2_batch8-train,bert-base-cased_batch8-inf,"(3.793716656787196, 93.841642228739)","(7.230984769738329, 82.53833651332062)","(10.832070666365777, 71.80180734001353)","(14.060128351929274, 62.79569892473118)","(None, None)","(20.34049717397653, 41.93293602355138)","(22.72585689189021, 30.304209638710518)","(26.22241316212389, 19.460504173678334)","(29.623625795121797, 9.670675415536834)","(16.948371943075575, 57.575234762033865)"
albert-base-v2_batch8-train,vit-base-patch16-224_batch8-inf,"(4.290822407628128, 79.67257844474761)","(8.314773570898293, 76.72600670038757)","(12.213359920239283, 72.5240608506675)","(15.5784905555401, 67.65523632993512)","(None, None)","(21.68455197849319, 55.4329512825989)","(None, None)","(26.534610697150615, 38.81946290880085)","(29.662248447751992, 21.871020897311062)","(27.608573626327935, 53.3235938641344)"
albert-base-v2_batch8-train,vit-base-patch16-224_batch2-inf,"(None, None)","(None, None)","(None, None)","(None, None)","(18.62011637572735, 55.24548292498345)","(None, None)","(24.319008165941465, 41.11228440689898)","(26.742503617222972, 33.83545770567787)","(29.85864166691157, 20.024001371506944)","(29.421598127716482, 29.24825962838684)"
albert-base-v2_batch8-train,wav2vec2-base-960h_batch8-inf,"(None, None)","(None, None)","(11.263817089059808, 47.63853646558075)","(14.573510501500214, 42.14490024982802)","(17.348459144083673, 35.16935069643774)","(20.785273214493767, 28.156067826129025)","(23.270138936417766, 20.683037776751128)","(26.282710547366015, 13.855905722703332)","(29.461202645856208, 7.113392611605097)","(16.735272285579324, 40.94338627130269)"
albert-base-v2_batch8-train,bert-base-cased_batch2-inf,"(3.898635477582846, 84.55190386564355)","(8.337675872850443, 74.13048997207413)","(None, None)","(14.626714068054849, 54.615168802020015)","(17.479092895351467, 44.93344617988767)","(20.711080428028993, 36.02936640138195)","(23.320524711806016, 28.023032629558543)","(26.52503607282105, 19.419412762278455)","(29.694617850514593, 9.490533842528643)","(24.687065368567456, 28.761388820487564)"
albert-base-v2_batch8-train,wav2vec2-base-960h_batch2-inf,"(4.01981193022755, 51.268498942917546)","(7.872724290634737, 46.59354735409495)","(None, None)","(14.738580776316626, 34.429720776147654)","(17.64878909697029, 28.829007331087777)","(21.003957835338376, 23.903400689995074)","(None, None)","(26.2922516900676, 12.919552477357485)","(None, None)","(23.401472916236493, 21.396272195875152)"
