HPworkload,ground truth,random,prediction,_PCIe read bandwidth,_PCIe write bandwidth,_Long_Kernel,_ave_Kernel_Length,_long/short_Ratio,_avg_Thread,sm%,mem%,CPU%,MainMem%,ground truth value
whisper-large-v2_batch8-inf,1.0,0.31947041279013794,0.2400614301260157,1.0,1.0,0.1247370280705411,0.4083991215457931,0.0646038342393538,0.1247370280705411,0.07902106275912374,0.2400614301260157,1.0,1.0,63.432861246081565
vit-base-patch16-224_batch8-inf,1.0,0.6901946587197766,1.0,0.8362539172648639,0.8362539172648639,0.8629584963519126,0.8629584963519126,0.5656876308266504,0.8629584963519126,0.44087584173166394,0.8629584963519126,0.5171844920934948,0.5656876308266504,161.7458225305613
albert-base-v2_batch2-train,1.0,0.5173428624127836,0.9190952875008682,0.35581619355738403,0.35581619355738403,0.7116454961154355,0.7116454961154355,0.31140132624982253,0.7116454961154355,0.2429041168635533,0.7116454961154355,0.35581619355738403,0.6936939157338539,99.55182274105027
bert-base-cased_batch8-inf,1.0,0.6862429305245541,1.0,0.7466199559173542,0.7466199559173542,0.8492484265236528,0.8492484265236528,0.8492484265236528,0.8492484265236528,0.554254842543541,0.8492484265236528,0.7497007093472036,0.7497007093472036,150.99680863628137
wav2vec2-base-960h_batch8-inf,1.0,0.6220141471176723,0.9902907401573539,0.4332363774853572,0.4332363774853572,0.7661181000747064,0.7661181000747064,0.5408816857225652,0.7661181000747064,0.4556389969952503,0.7661181000747064,0.4332363774853572,0.5408816857225652,120.63426590505317
bert-base-cased_batch8-train,1.0,0.647064089891684,1.0,0.39843953906845997,1.0,0.24685680705762508,0.24685680705762508,0.9530805068856177,0.9530805068856177,0.39843953906845997,0.9530805068856177,0.8819766686189561,0.39843953906845997,87.77058230585791
bert-base-cased_batch16-inf,1.0,0.7053475105525502,1.0,0.5804418972024599,0.5804418972024599,0.7362930635229392,0.34093455249185994,0.34093455249185994,0.7362930635229392,0.6325061419712873,0.7679413175938113,0.8334818062366462,0.8076288644436603,135.26057769240936
vit_h_14_batch8-train,1.0,0.7955932692325557,0.35215603902115766,0.9731461178508968,0.9731461178508968,0.6874354780594161,1.0,1.0,0.6874354780594161,0.9652287112313078,0.35215603902115766,0.9652287112313078,1.0,22.264658209253938
vit-base-patch16-224_batch16-inf,1.0,0.7316132317509424,1.0,0.5490316618759645,0.5490316618759645,0.8773013744577847,0.8773013744577847,0.6225323294207489,0.8773013744577847,0.5784500916663324,0.8773013744577847,0.9442358002821596,0.9266117822417036,159.91430169366595
whisper-large-v2_batch16-inf,1.0,0.3073983226656264,0.3350483984690859,0.3164147431222791,1.0,0.3350483984690859,0.3350483984690859,0.16430429476399308,0.3350483984690859,0.3164147431222791,0.3350483984690859,0.3044983956501828,0.16430429476399308,46.115004525352035
wav2vec2-base-960h_batch16-inf,1.0,0.9395519984251233,1.0,0.906269863371125,0.906269863371125,0.906269863371125,0.9123861319042451,0.9123861319042451,0.906269863371125,0.906269863371125,1.0,0.9123861319042451,0.9123861319042451,75.74517963378362
albert-base-v2_batch16-train,1.0,0.6847912683672908,0.9938888233026255,0.661496199459081,0.661496199459081,1.0,1.0,0.45294648014841404,1.0,0.661496199459081,1.0,0.6771716637573665,0.661496199459081,52.58450556637074
wav2vec2-base-960h_batch2-inf,1.0,0.5782082714208224,0.6357292442147153,0.35087164938969445,0.8717991927662279,0.4163144099722503,0.4236461307417013,0.4236461307417013,0.4163144099722503,0.35087164938969445,0.5446304762980363,0.8330765631723457,0.4236461307417013,119.14691721842664
albert-base-v2_batch8-train,1.0,0.48304666546087044,1.0,0.9248744559537534,0.9248744559537534,0.23232345843721827,0.3599723746445445,0.3599723746445445,0.2778883294133905,0.2778883294133905,1.0,0.36962648534646164,0.3599723746445445,92.50244247345861
vit-base-patch16-224_batch2-inf,1.0,0.6781132526234073,0.9949170330470198,0.3748190702405995,0.3748190702405995,0.8575595254353239,0.8575595254353239,0.5049830552155878,0.8575595254353239,0.45113416138436896,0.8575595254353239,0.9140425297435947,0.9147804505891403,140.29303667130998
bert-base-cased_batch16-train,1.0,0.4939373165131207,1.0,0.4055756522128341,0.8942218852724193,0.3963235710313099,0.40345047326422595,0.40345047326422595,0.3963235710313099,0.4055756522128341,1.0,0.41765174423940676,0.40345047326422595,87.79801481660778
bert-base-cased_batch2-inf,1.0,0.7546764593208629,0.8660996568459615,0.7372214213705458,0.7372214213705458,0.8660996568459615,0.8660996568459615,0.4660494260304483,0.8660996568459615,0.7372214213705458,0.8660996568459615,0.7372214213705458,0.7040117923573593,148.17847609830528
bert-base-cased_batch2-train,1.0,0.5002080211858267,0.9095122975323588,0.33795948753442673,1.0,0.2837808669399921,0.07944887407799306,0.6892719279087695,0.2837808669399921,0.33795948753442673,0.4980607364592595,0.3493917545470744,0.33795948753442673,99.59142512302661
vit_h_14_batch2-train,1.0,0.4531915905218472,0.8520637907577886,1.0,1.0,0.7562485685131766,0.7562485685131766,0.28893944014791073,0.7562485685131766,0.0912697482533939,0.7562485685131766,1.0,0.28893944014791073,83.69071239527932
whisper-large-v2_batch2-inf,1.0,0.25905708510346503,0.34381470649011125,0.3399808259658301,0.3399808259658301,0.11191825077246934,0.05849548368105125,0.053745248258453095,0.07931120838920333,0.07931120838920333,1.0,0.34381470649011125,0.2860518126328874,70.0567940529274
