HPworkload,ground truth,random,prediction,_Threads,_Compute (SM) Throughput,_DRAM Throughput,_Memory Throughput,_Registers,_Static Shared Memory,exclusive_throughput,sm%,mem%,memcap,ground truth value
whisper-large-v2_batch8-inf,1.0,0.26309079523295736,1.0,0.07902106275912374,1.0,1.0,0.2400614301260157,0.07902106275912374,0.07045306773335827,1.0,0.07902106275912374,0.2400614301260157,1.0,63.432861246081565
vit-base-patch16-224_batch8-inf,1.0,0.7044474619658326,0.8674499218624596,0.8475508953643445,0.9821456060138438,0.8475508953643445,0.8475508953643445,0.8475508953643445,0.8475508953643445,0.8213231103535504,0.48577541522297707,0.8475508953643445,0.8719359223002174,164.68619473544885
albert-base-v2_batch2-train,1.0,0.5190223250390311,0.992074112579628,0.7060050740300098,0.9118106417235419,0.7060050740300098,0.7060050740300098,0.7060050740300098,0.08573433911394603,0.6886976108755235,0.2409788861793479,0.7060050740300098,0.9327473081304968,100.3471630584049
bert-base-cased_batch8-inf,1.0,0.6676552001165845,1.0,0.8492484265236528,0.9460930204107993,0.8492484265236528,0.8492484265236528,0.8492484265236528,0.4200940524437016,0.7466199559173542,0.425570367026222,0.8492484265236528,0.7196597669367438,150.99680863628137
wav2vec2-base-960h_batch8-inf,1.0,0.6398449490921009,1.0,0.7661181000747064,0.9902907401573539,0.7661181000747064,0.7661181000747064,0.7661181000747064,0.21474764749201114,0.8170276933133359,0.4332363774853572,0.7661181000747064,0.7068441768316699,120.63426590505317
bert-base-cased_batch8-train,1.0,0.5148522764817266,0.9281510999578694,0.6367572013849245,0.8846027208142897,0.6367572013849245,0.6367572013849245,0.6367572013849245,0.14250373842507935,0.9281510999578694,0.26646397415091333,0.6367572013849245,0.8186076151158612,94.56497148992443
bert-base-cased_batch16-inf,1.0,0.6650779080072071,1.0,0.9307997442515209,0.9307997442515209,0.9307997442515209,0.7147995820164955,0.9307997442515209,0.44088293183265936,0.6592250729665194,0.6182396137378569,0.7147995820164955,0.7517407404743053,145.3165178952383
vit_h_14_batch8-train,1.0,0.5070941305719244,0.9574444325669773,0.7829341463800602,0.11161524205369235,0.7829341463800602,0.7829341463800602,0.7829341463800602,0.08765913587061978,0.9574444325669773,0.3059275556957955,0.7829341463800602,0.9574444325669773,70.24698151314354
vit-base-patch16-224_batch16-inf,1.0,0.6719552605474207,0.9710243287274416,1.0,1.0,1.0,0.7234784762002893,1.0,0.1784110133669223,0.7519658341707015,0.48945445739378673,0.7234784762002893,0.9168759341294026,164.68619473544885
whisper-large-v2_batch16-inf,1.0,0.3084362386461081,1.0,0.3350483984690859,1.0,0.3350483984690859,0.3350483984690859,0.3350483984690859,0.09691074989343255,1.0,0.11512781327859814,0.3350483984690859,0.3350483984690859,46.115004525352035
wav2vec2-base-960h_batch16-inf,1.0,0.7235339333009217,0.7209556145269895,0.7209556145269895,0.7735589159373564,0.7209556145269895,0.7209556145269895,0.7209556145269895,0.7209556145269895,0.7735589159373564,0.7735589159373564,0.7209556145269895,0.6769869359071918,123.8383918006404
albert-base-v2_batch16-train,1.0,0.5771477918922802,1.0,0.6894679254398438,0.9353966800994905,0.6894679254398438,0.6894679254398438,0.6894679254398438,0.19131773870767432,1.0,0.4524553040185257,0.6894679254398438,0.8425494915750965,76.26824051724324
wav2vec2-base-960h_batch2-inf,1.0,0.5756810358539878,1.0,0.7782071968695128,0.9362292935767959,0.7782071968695128,0.7782071968695128,0.7782071968695128,0.12780677623243122,0.6357292442147153,0.4163144099722503,0.7782071968695128,0.7058265126335805,119.14691721842664
albert-base-v2_batch8-train,1.0,0.4556558650213215,1.0,0.8648474839143732,0.8648474839143732,0.8648474839143732,0.8648474839143732,0.8648474839143732,0.23232345843721827,0.5796021446962236,0.2778883294133905,1.0,0.5796021446962236,92.50244247345861
vit-base-patch16-224_batch2-inf,1.0,0.5943866419412935,0.9187123140753355,0.8619407417410206,1.0,0.8619407417410206,0.8619407417410206,0.8619407417410206,0.38137975586815437,0.639647710884414,0.4534389767182208,0.8619407417410206,0.9194540049108875,139.57993180217647
bert-base-cased_batch16-train,1.0,0.6721560020057328,1.0,0.5709264811268712,1.0,1.0,0.8689615574588939,0.5709264811268712,0.2799815186891671,1.0,0.5709264811268712,0.8689615574588939,1.0,50.153113530896476
bert-base-cased_batch2-inf,1.0,0.6460826689653362,0.7567513898553262,0.8937400618301844,1.0,0.8937400618301844,0.8937400618301844,0.8937400618301844,0.8937400618301844,0.5838399737438961,0.6462781442162702,0.8937400618301844,0.726479381278119,143.5958090967668
bert-base-cased_batch2-train,1.0,0.47298480076652266,0.9827826973083751,0.19633391028838287,1.0,0.6964830732245132,0.4980607364592595,0.19633391028838287,0.17124130562754725,1.0,0.19633391028838287,0.4980607364592595,0.6964830732245132,99.59142512302661
vit_h_14_batch16-train,1.0,0.699026009001898,0.8308877373737784,0.8308877373737784,1.0,0.8308877373737784,0.8308877373737784,0.8308877373737784,0.8308877373737784,1.0,0.2661902896319158,0.8308877373737784,1.0,64.06757245336577
vit_h_14_batch2-train,1.0,0.39233631086835047,0.968078505465862,0.6819940662041939,0.968078505465862,0.6819940662041939,0.6819940662041939,0.6819940662041939,0.05401270571579814,0.968078505465862,0.08230815809032595,0.6819940662041939,1.0,92.80283302029225
whisper-large-v2_batch2-inf,1.0,0.3273595299477577,1.0,0.7411619413991534,0.7411619413991534,0.7411619413991534,0.7411619413991534,0.7411619413991534,0.048012083764117065,1.0,0.06543201161915332,0.7411619413991534,1.0,84.91698260098705
