HPworkload,ground truth,random,prediction,_PCIe read bandwidth,_PCIe write bandwidth,_Long_Kernel,_ave_Kernel_Length,_long/short_Ratio,_avg_Thread,sm%,mem%,CPU%,MainMem%,ground truth value
whisper-large-v2_batch8-inf,1.0,0.3260941053009354,0.2502391981949239,1.0,1.0,0.13002544337590874,0.1413769319697015,0.1413769319697015,0.13002544337590874,0.13002544337590874,0.2502391981949239,1.0,0.1413769319697015,60.85290992603713
vit-base-patch16-224_batch8-inf,1.0,0.6505921938110829,0.9821456060138438,0.4331939243083534,0.8213231103535504,0.8475508953643445,0.8475508953643445,0.3821646118146562,0.8475508953643445,0.43300427075440856,0.8475508953643445,0.4628843196202806,0.4331939243083534,164.68619473544885
albert-base-v2_batch2-train,1.0,0.4391591243661494,0.6502312881596128,0.33864794656144115,1.0,0.298721061405058,0.3089331943954119,0.3089331943954119,0.298721061405058,0.2409788861793479,0.5030150223580282,0.9327473081304968,0.3089331943954119,100.3471630584049
bert-base-cased_batch8-inf,1.0,0.7408250417749391,1.0,0.5011141071738792,0.8791537700853894,1.0,1.0,0.7299054122704766,1.0,0.5011141071738792,1.0,0.8827813934446228,0.847407830807091,128.23380214445507
wav2vec2-base-960h_batch8-inf,1.0,0.5707819416221505,0.9902907401573539,0.4332363774853572,0.4332363774853572,0.47741268319685826,0.5408816857225652,0.5408816857225652,0.9902907401573539,0.4556389969952503,1.0,0.7896620849932613,0.7068441768316699,120.63426590505317
bert-base-cased_batch8-train,1.0,0.5681808495255793,0.6367572013849245,0.3698120964530976,0.3698120964530976,0.6367572013849245,0.6367572013849245,0.3609877983214358,0.6367572013849245,0.36760076136275066,0.6367572013849245,0.8186076151158612,0.3609877983214358,94.56497148992443
bert-base-cased_batch16-inf,1.0,0.6685871877927237,0.8420659676983189,0.5248421970324572,0.5248421970324572,0.8420659676983189,0.8420659676983189,0.6905420286133422,0.8420659676983189,0.6182396137378569,0.8420659676983189,0.775804652083366,0.6905420286133422,145.3165178952383
vit_h_14_batch8-train,1.0,0.4664741362886364,0.7829341463800602,0.35316340333778196,0.35316340333778196,0.7829341463800602,0.7829341463800602,0.7829341463800602,0.7829341463800602,0.13866097153499876,0.7829341463800602,0.9574444325669773,0.3059275556957955,70.24698151314354
vit-base-patch16-224_batch16-inf,1.0,0.6907608751767433,1.0,0.8823843317812649,0.8823843317812649,0.8518809782245322,0.8518809782245322,0.42539566941519485,0.8518809782245322,0.5616891119626276,0.8518809782245322,0.5616891119626276,0.8997625838421885,164.68619473544885
whisper-large-v2_batch16-inf,1.0,0.2907778495477831,0.3350483984690859,0.3164147431222791,1.0,0.3350483984690859,0.3350483984690859,0.16430429476399308,0.3350483984690859,0.11512781327859814,0.3350483984690859,0.3164147431222791,0.16430429476399308,46.115004525352035
wav2vec2-base-960h_batch16-inf,1.0,0.7120499534006784,0.8440919818594271,0.7404341021373785,0.7404341021373785,0.5180715029732726,0.5580567580990071,0.5580567580990071,0.8440919818594271,0.5180715029732726,0.611645375334985,0.7404341021373785,0.5580567580990071,123.8383918006404
albert-base-v2_batch16-train,1.0,0.556180551140785,0.9353966800994905,0.45608041232739366,1.0,0.44130907923320595,0.4455637167257315,0.4455637167257315,0.44130907923320595,0.37005402136749815,0.9353966800994905,0.8425494915750965,0.6121217939728244,76.26824051724324
wav2vec2-base-960h_batch2-inf,1.0,0.504214934930528,0.9362292935767959,0.8717991927662279,0.8717991927662279,0.3217225667668806,0.4236461307417013,0.4236461307417013,0.4163144099722503,0.43033609982218207,0.5446304762980363,0.36577637644896194,0.4236461307417013,119.14691721842664
albert-base-v2_batch8-train,1.0,0.49400695865707656,0.6251166855463627,0.9248744559537534,0.9248744559537534,0.6251166855463627,0.6251166855463627,0.3599723746445445,0.6251166855463627,0.2778883294133905,0.6251166855463627,0.3838404961737837,0.5796021446962236,92.50244247345861
vit-base-patch16-224_batch2-inf,1.0,0.6098091110639352,0.9949170330470198,0.8722178745812824,0.8722178745812824,0.8575595254353239,0.8575595254353239,0.8575595254353239,0.8575595254353239,0.45113416138436896,0.8575595254353239,0.9140425297435947,0.4121717058518611,140.29303667130998
bert-base-cased_batch16-train,1.0,0.5222245273816227,1.0,0.4671183278449299,0.4671183278449299,0.32676231609121625,0.4646706709616116,0.4646706709616116,1.0,0.4657730199372706,0.5717007991984785,0.481026864719806,0.6579126479085039,76.23065720097128
bert-base-cased_batch2-inf,1.0,0.5691736687090426,0.5754521886483709,0.3150623048491435,0.3150623048491435,0.46810942900018043,0.5754521886483709,0.5754521886483709,0.46810942900018043,0.6262909125798037,1.0,0.7333475884803028,0.7040117923573593,148.17847609830528
bert-base-cased_batch2-train,1.0,0.47822579954889477,0.9095122975323588,0.33795948753442673,1.0,0.7111853388365563,0.7111853388365563,0.3009878714032219,0.7111853388365563,0.19633391028838287,0.7111853388365563,0.9304533960046943,0.6964830732245132,99.59142512302661
vit_h_14_batch16-train,1.0,0.6801511530306643,1.0,0.32036853796070525,0.32036853796070525,1.0,1.0,1.0,1.0,0.32036853796070525,1.0,0.32036853796070525,0.32036853796070525,53.2329603148077
vit_h_14_batch2-train,1.0,0.45077740898951796,0.7684013874786446,0.30412184830454586,0.968078505465862,0.6819940662041939,0.6819940662041939,0.2605690666769223,0.6819940662041939,0.08230815809032595,0.6819940662041939,0.30412184830454586,1.0,92.80283302029225
whisper-large-v2_batch2-inf,1.0,0.5028424806260152,0.7411619413991534,1.0,1.0,0.825003337460946,0.04825896926325958,0.04434000918589089,0.7411619413991534,0.28364828032249734,0.825003337460946,0.28364828032249734,1.0,84.91698260098705
