HPworkload,ground truth,random,prediction,_PCIe read bandwidth,_PCIe write bandwidth,_Long_Kernel,_ave_Kernel_Length,_long/short_Ratio,_avg_Thread,sm%,mem%,CPU%,MainMem%,ground truth value
whisper-large-v2_batch8-inf,1.0,0.5596148824951769,1.0,0.40437859799920406,0.40437859799920406,0.40437859799920406,0.5649671713684755,0.5649671713684755,1.0,0.5649671713684755,1.0,0.5649671713684755,0.5649671713684755,15.227783387719459
vit-base-patch16-224_batch8-inf,1.0,0.6656683871051537,1.0,0.47129907906318735,0.47129907906318735,0.5600121503048471,0.5656876308266504,0.5656876308266504,0.5600121503048471,0.44087584173166394,1.0,0.8832192666249453,0.5656876308266504,161.7458225305613
albert-base-v2_batch2-train,1.0,0.48259964008949396,0.7060050740300098,0.33864794656144115,1.0,0.7060050740300098,0.7060050740300098,0.3089331943954119,0.7060050740300098,0.33183124328298846,0.7060050740300098,0.9327473081304968,0.3089331943954119,100.3471630584049
bert-base-cased_batch8-inf,1.0,0.7208190394653222,1.0,0.44981873647206144,0.44981873647206144,0.7606649149829509,0.6551903560314276,0.6551903560314276,1.0,0.44981873647206144,1.0,0.7924175458156102,0.7606649149829509,142.8570267550909
wav2vec2-base-960h_batch8-inf,1.0,0.6618734790425093,1.0,0.43748402354698124,0.8250382036123179,0.7736294696171478,0.7736294696171478,0.7736294696171478,0.7736294696171478,0.43748402354698124,0.7736294696171478,0.7974042904488703,0.43748402354698124,119.46299647145413
bert-base-cased_batch8-train,1.0,0.44485638015052426,0.6367572013849245,0.3698120964530976,0.3698120964530976,0.6367572013849245,0.6367572013849245,0.20838743345208954,0.6367572013849245,0.36760076136275066,0.6367572013849245,0.3698120964530976,0.36760076136275066,94.56497148992443
bert-base-cased_batch16-inf,1.0,0.7131169942724493,1.0,0.5248421970324572,0.5248421970324572,0.8420659676983189,0.8420659676983189,0.6905420286133422,0.8420659676983189,0.5248421970324572,0.8420659676983189,0.5248421970324572,0.7517407404743053,145.3165178952383
vit_h_14_batch8-train,1.0,0.4263998236046803,1.0,0.4510767667634024,0.4510767667634024,1.0,1.0,0.14256019177315443,1.0,0.4510767667634024,1.0,0.4510767667634024,0.4510767667634024,54.9987605067689
vit-base-patch16-224_batch16-inf,1.0,0.7392729237570987,0.7450673014016352,0.9087149576753218,0.9087149576753218,0.612057385578228,0.7450673014016352,0.7450673014016352,0.612057385578228,0.5784500916663324,0.7450673014016352,0.5784500916663324,0.5784500916663324,159.91430169366595
whisper-large-v2_batch16-inf,1.0,0.5684396122598359,0.7446484508152941,0.5140298563097434,0.5140298563097434,0.7446484508152941,0.7446484508152941,0.36516795518900447,0.7446484508152941,0.36516795518900447,0.7446484508152941,0.5140298563097434,0.36516795518900447,20.749064064656633
albert-base-v2_batch16-train,1.0,0.6018942441817244,0.6852544651203087,0.45608041232739366,1.0,0.3252817017560424,0.4455637167257315,0.4455637167257315,0.4585299217674992,0.45608041232739366,0.6852544651203087,0.8425494915750965,0.4455637167257315,76.26824051724324
wav2vec2-base-960h_batch2-inf,1.0,0.5599907574843409,0.5446304762980363,0.8717991927662279,0.8717991927662279,1.0,0.12780677623243122,0.12780677623243122,0.5446304762980363,0.36577637644896194,0.5446304762980363,0.36577637644896194,0.8717991927662279,119.14691721842664
albert-base-v2_batch8-train,1.0,0.48460593354805415,0.6251166855463627,0.3838404961737837,0.3838404961737837,0.6251166855463627,0.6251166855463627,0.3599723746445445,0.6251166855463627,0.2778883294133905,0.6251166855463627,0.3838404961737837,0.3599723746445445,92.50244247345861
vit-base-patch16-224_batch2-inf,1.0,0.6072256927349846,0.9831941656171682,1.0,1.0,0.9831941656171682,0.9831941656171682,0.5789643504588924,0.9831941656171682,0.4725559035920108,0.9831941656171682,0.4725559035920108,0.5789643504588924,122.3660942640039
bert-base-cased_batch16-train,1.0,0.5820637909613753,1.0,0.481026864719806,0.481026864719806,0.4657730199372706,0.5717007991984785,0.31596941400419293,1.0,0.4657730199372706,0.5717007991984785,0.481026864719806,0.6579126479085039,76.23065720097128
bert-base-cased_batch2-inf,1.0,0.8522015765689903,0.9549529787788213,1.0,1.0,0.9549529787788213,0.9549529787788213,0.9549529787788213,0.9549529787788213,0.45910796711822066,0.9947453603789195,0.9947453603789195,0.9549529787788213,109.24034676571407
bert-base-cased_batch2-train,1.0,0.6744819544138217,0.9095122975323588,1.0,1.0,0.2837808669399921,0.2837808669399921,0.9095122975323588,0.2837808669399921,0.19633391028838287,0.9827826973083751,1.0,0.2837808669399921,99.59142512302661
vit_h_14_batch2-train,1.0,0.43544763255619906,1.0,1.0,1.0,0.2742002766949182,0.2742002766949182,1.0,0.2742002766949182,0.10711609769524714,1.0,0.360474155834631,0.360474155834631,71.30982565474154
whisper-large-v2_batch2-inf,1.0,0.26570206918653316,0.04434000918589089,1.0,1.0,0.0923329304100783,0.15927056535334502,0.15927056535334502,0.2320637297706609,0.28364828032249734,0.04434000918589089,0.28364828032249734,0.15927056535334502,84.91698260098705
