HPworkload,ground truth,random,prediction,_Threads,_Compute (SM) Throughput,_DRAM Throughput,_Memory Throughput,_Registers,_Static Shared Memory,exclusive_throughput,sm%,mem%,memcap,ground truth value
whisper-large-v2_batch8-inf,1.0,0.6251809254461653,0.7455173329625875,0.13002544337590874,1.0,0.7455173329625875,0.13002544337590874,0.13002544337590874,0.7455173329625875,1.0,0.13002544337590874,0.7455173329625875,1.0,60.85290992603713
vit-base-patch16-224_batch8-inf,1.0,0.6526514993998983,1.0,1.0,1.0,1.0,0.689655116862037,1.0,1.0,0.8362539172648639,0.44087584173166394,0.689655116862037,0.8362539172648639,161.7458225305613
albert-base-v2_batch2-train,1.0,0.46215828549495436,1.0,0.2409788861793479,1.0,1.0,0.3089331943954119,0.2409788861793479,0.2409788861793479,1.0,0.2409788861793479,1.0,1.0,100.3471630584049
bert-base-cased_batch8-inf,1.0,0.8916466328042465,0.9599294197859067,0.8185795337680415,0.9958906889223409,0.9599294197859067,0.9599294197859067,0.8185795337680415,0.6838335215449439,0.9958906889223409,0.8185795337680415,1.0,0.9599294197859067,113.2024145437841
wav2vec2-base-960h_batch8-inf,1.0,0.6982606206219387,1.0,1.0,1.0,1.0,1.0,1.0,0.24333475422058723,1.0,0.6129163848067316,0.9367913434604361,1.0,85.26962838135009
bert-base-cased_batch8-train,1.0,0.569921277791782,1.0,1.0,1.0,0.8186076151158612,0.49036166250549823,1.0,0.3731455313134843,0.8186076151158612,0.36760076136275066,0.49036166250549823,0.8186076151158612,94.56497148992443
bert-base-cased_batch16-inf,1.0,0.7172104138247256,0.9307997442515209,0.9307997442515209,0.9307997442515209,0.9307997442515209,0.7147995820164955,0.9307997442515209,0.4187611347108335,0.775804652083366,0.6182396137378569,0.7147995820164955,0.775804652083366,145.3165178952383
vit_h_14_batch8-train,1.0,0.4815295090769313,1.0,0.13866097153499876,1.0,1.0,1.0,0.13866097153499876,0.13866097153499876,1.0,0.13866097153499876,1.0,1.0,70.24698151314354
vit-base-patch16-224_batch16-inf,1.0,0.6513272367282488,0.8773013744577847,0.8773013744577847,0.9087149576753218,0.8773013744577847,0.8773013744577847,0.8773013744577847,0.2836950706133666,0.9087149576753218,0.5784500916663324,0.8773013744577847,0.9087149576753218,159.91430169366595
whisper-large-v2_batch16-inf,1.0,0.6101925961342808,1.0,1.0,1.0,1.0,1.0,1.0,0.21835179898513768,1.0,0.5191836220132353,1.0,0.5191836220132353,20.749064064656633
albert-base-v2_batch16-train,1.0,0.6565395038711631,1.0,0.644007593815133,1.0,1.0,1.0,0.644007593815133,0.27919225403965087,1.0,0.6655635760758167,1.0,0.644007593815133,52.263152361310574
wav2vec2-base-960h_batch2-inf,1.0,0.6555002218925108,0.9362292935767959,0.9362292935767959,0.9362292935767959,0.9362292935767959,0.5446304762980363,0.9362292935767959,0.38919208081208234,0.8717991927662279,0.43033609982218207,0.5446304762980363,0.8717991927662279,119.14691721842664
albert-base-v2_batch8-train,1.0,0.4601009469956162,1.0,0.2778883294133905,0.9248744559537534,1.0,0.11645718692848599,0.2778883294133905,0.11645718692848599,0.9248744559537534,0.2778883294133905,1.0,0.9248744559537534,92.50244247345861
vit-base-patch16-224_batch2-inf,1.0,0.7033877426396049,0.8575595254353239,0.8575595254353239,1.0,0.8575595254353239,0.8575595254353239,0.8575595254353239,0.8575595254353239,1.0,0.45113416138436896,0.8575595254353239,0.8575595254353239,140.29303667130998
bert-base-cased_batch16-train,1.0,0.7258715216998761,1.0,1.0,1.0,1.0,0.4802604342820521,1.0,0.7079557163370506,1.0,0.7079557163370506,0.4802604342820521,1.0,50.153113530896476
bert-base-cased_batch2-inf,1.0,0.7689082969264789,0.9599974192541695,0.6383186313740139,0.9599974192541695,0.9599974192541695,0.9599974192541695,0.6383186313740139,1.0,1.0,0.6383186313740139,0.7846922764699691,0.9599974192541695,108.66632811137836
bert-base-cased_batch2-train,1.0,0.5669723267769915,0.9774936621627098,0.7643427837335425,0.9774936621627098,0.7643427837335425,0.7643427837335425,0.7643427837335425,0.08538726863606634,1.0,0.3632202203631074,0.7643427837335425,0.7485415994128946,92.66517971866735
vit_h_14_batch2-train,1.0,0.4772076230675137,0.7937387134826135,0.7044821906008567,0.7937387134826135,0.7044821906008567,0.7044821906008567,0.7044821906008567,0.7044821906008567,1.0,0.08502219357790342,0.7044821906008567,1.0,89.84042789328248
whisper-large-v2_batch2-inf,1.0,0.5739836078112087,0.8983744764962704,0.8983744764962704,0.8983744764962704,0.8983744764962704,0.8983744764962704,0.8983744764962704,0.8983744764962704,1.0,0.34381470649011125,1.0,0.8983744764962704,70.0567940529274
